formatted_address,geometry,name,photos,place_id,types,rating,user_ratings_total
"Jl. Kwamki Narama No. 1, Kwamki, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, Indonesia","{'location': {'lat': -4.5151124, 'lng': 136.884599}, 'viewport': {'northeast': {'lat': -4.513767370107278, 'lng': 136.8860473798927}, 'southwest': {'lat': -4.516467029892722, 'lng': 136.8833477201072}}}",Rimba Papua Hotel,"[{'height': 3078, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104871123306670295916"">A Google User</a>'], 'photo_reference': 'AUGGfZlpfRWjLxKn5ke8dNWlrNGV4hAvp4Z5KR9Fc3zrD6mlZbaelGrq9sUc0z_AbvIkowgiwMS28AmQ2pPjxzap1kPv6_hjfMQLrdyQ6mkG1y15F3y8dWZ2NheOV4Jf774ytVetEchYHn-hqzoW5bJTdrN5dAJWqwHmRLwfBlgORyJ6TixO', 'width': 5472}]",ChIJIVylDMB2I2gRkiSzDXBWUKY,"['lodging', 'point_of_interest', 'establishment']",4.7,900.0
"CVJP+XV2, Jl. Raya Sp1, Inauga, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, Indonesia","{'location': {'lat': -4.5676146, 'lng': 136.8871472}, 'viewport': {'northeast': {'lat': -4.566260720107278, 'lng': 136.8884901298927}, 'southwest': {'lat': -4.568960379892721, 'lng': 136.8857904701073}}}",Jaya Hotel,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117113423230816040348"">A Google User</a>'], 'photo_reference': 'AUGGfZlNVqxfXAgcaBtad9fsxOukNwrxynkxZ7eeO1GeUar1vfIf0scJXk7D6k4XLLKJEiS9D6LT-Zj_4kCewbiiW4Z_N69ii4HuzqB6OIyqWwp9WK2P73HOojTYJZR7B2ASxcPg8028ErHhfayMeZ4VKs_cFZUHNlVcOmBSk4cuXD4fWNmm', 'width': 2076}]",ChIJUcuxO5B5I2gRbAqk-40fToU,"['lodging', 'point_of_interest', 'establishment']",4.3,27.0
"4FJP+X7F, Moruku, Dekai, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.8675637, 'lng': 139.4856768}, 'viewport': {'northeast': {'lat': -4.866013370107277, 'lng': 139.4867679798927}, 'southwest': {'lat': -4.868713029892721, 'lng': 139.4840683201073}}}",Hotel Yahukimo 1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101568820021283060048"">A Google User</a>'], 'photo_reference': 'AUGGfZk_UR1G0kY8PwTzxDMhJ2fRtYssRcxvaDo5UAKt1bJ3sYjN_T1KxB6z4x2Delwd7eE2wA7bYBCwKTMJmJXXnPkARq3RkEd4VgVMiaoomGl8LQDpKfX37aqaGFrmx_uGv5Khp0dSLNeaS7oazM7-SOYP6roJUSShCUDg4p1ioKb2jpUT', 'width': 4000}]",ChIJq3n-M98sP2gRJXaGtAlvCzE,"['lodging', 'point_of_interest', 'establishment']",3.3,15.0
"4FQF+4J7, Massi, Dekai, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.8622154, 'lng': 139.474044}, 'viewport': {'northeast': {'lat': -4.86146555, 'lng': 139.47684885}, 'southwest': {'lat': -4.864464949999999, 'lng': 139.47310905}}}",Hotel Sharon Inn,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112037563697609665789"">Budi Setiawan</a>'], 'photo_reference': 'AUGGfZliTSVKy4YXez43C9PproDDK5RlsjSW1XzbCvHoWQy7JngK5P9BQU3EoWH86-eTmHZzqTVwXbJ29Yytx30xjG7MP1k0oVVwMfPiHUAuoxOWA5aUE6jiWrpr5yk77gH6ParStCe1692YVAV6vLPy_1FYRtxVH7hfrpjdtFt5_aZXMPKT', 'width': 4608}]",ChIJVRoXz-ksP2gRyMhTgzS6eQk,"['lodging', 'point_of_interest', 'establishment']",3.9,22.0
"4FJP+X7F, Moruku, Dekai, Yahukimo regency, Papua 99571, Indonesia","{'location': {'lat': -4.8675637, 'lng': 139.4856768}, 'viewport': {'northeast': {'lat': -4.866013370107277, 'lng': 139.4867679798927}, 'southwest': {'lat': -4.868713029892721, 'lng': 139.4840683201073}}}",Hotel Yahukimo 2,"[{'height': 385, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105448348962292858646"">indah lestari</a>'], 'photo_reference': 'AUGGfZlmO8_uF_IOG56A2P2TDvEGcVc2ffnIrHRfjDIKefuSKflVjMAlxDhiqluFJakVAumuVtz7mMMkRj2mIJ_rf7JrvfumFyZndEkw6kSjlgSJ0SfhqTGvgqNjnOaWqquSwZ_ai-aMmmrGZc9eePLDS_QvjIL0dlNb3YkI2ak6sLyimpsA', 'width': 540}]",ChIJq3n-M98sP2gRkNpQAaG9kDM,"['lodging', 'point_of_interest', 'establishment']",3.1,52.0
"7XMM+9VG, Pruleme, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia","{'location': {'lat': -3.7179134, 'lng': 137.9849194}, 'viewport': {'northeast': {'lat': -3.716144470107278, 'lng': 137.9863846798927}, 'southwest': {'lat': -3.718844129892722, 'lng': 137.9836850201073}}}",Hotel Muliain,,ChIJP-FyJxzXF2gRs1tenptUewI,"['lodging', 'point_of_interest', 'establishment']",0.0,0.0
"7WFX+VJX, Berelema, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia","{'location': {'lat': -3.7252683, 'lng': 137.9491211}, 'viewport': {'northeast': {'lat': -3.723918470107278, 'lng': 137.9504709298927}, 'southwest': {'lat': -3.726618129892722, 'lng': 137.9477712701072}}}",MULIA,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110411795451696150622"">A Google User</a>'], 'photo_reference': 'AUGGfZnJCrcKV6TfMOcGq8zwsp_nEW13kV4n9BtTClS0hV3dRwISjAHvGLCa9DbaNl6wjwj9EKUsey3DWxNoyCGtF22NYLhIWBNCjxMh8h4hiwOcZKVD8aNE1i78IbgQHlWoGEtaam-0EncutuMCkj8T04TAZzP_mC9X1NsBngYp4Y9jD1Pm', 'width': 1920}]",ChIJufotzP7XF2gREmefRLpRQmM,"['lodging', 'point_of_interest', 'establishment']",4.8,4.0
"7XX7+9F6, Wuyukwi, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia","{'location': {'lat': -3.7009637, 'lng': 137.9640782}, 'viewport': {'northeast': {'lat': -3.699562470107278, 'lng': 137.9653980298928}, 'southwest': {'lat': -3.702262129892722, 'lng': 137.9626983701073}}}",Red Wam Hotel,,ChIJcQ1rZPHXF2gRO_4GOSp1QTk,"['lodging', 'point_of_interest', 'establishment']",0.0,0.0
"64HW+843, Melekom, Tingginambut, Puncak Jaya Regency, Papua 99563, Indonesia","{'location': {'lat': -3.7717391, 'lng': 138.1452991}, 'viewport': {'northeast': {'lat': -3.770389270107278, 'lng': 138.1466489298927}, 'southwest': {'lat': -3.773088929892722, 'lng': 138.1439492701073}}}",Moder Muara,"[{'height': 1504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102479337678008563801"">Irianto Anto</a>'], 'photo_reference': 'AUGGfZlQg7z6DXI_nmVXJyGFGnhdukg9nRpscUSV4yk4P18CwckpsztflgW3exLNplrH6cw0u1pC1sv3UYbkZW7_i8px8t9owCjWfpP3HC8V3ezNwzKzS_B6iPFvQUYPR3unw3oIgjcg6W1reXRtUIws9XxO88gKJVDXD9sUstFgr2vJGNse', 'width': 3264}]",ChIJm4Iy9s4rFmgR7M2F4J-dmXM,"['lodging', 'point_of_interest', 'establishment']",5.0,1.0
"2JGP+XXP, Pingel, Ilaga, Puncak Regency, Papua 98972, Indonesia","{'location': {'lat': -3.9727453, 'lng': 137.6387145}, 'viewport': {'northeast': {'lat': -3.971453420107278, 'lng': 137.6400631798927}, 'southwest': {'lat': -3.974153079892722, 'lng': 137.6373635201073}}}",Penginapan RM Kelabo,"[{'height': 3136, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116629867479376035436"">aristo law</a>'], 'photo_reference': 'AUGGfZlFKTHmJnqnJvK6Auk2epo6uyPCWqFcWkcW9pdeOqw6OyY3LJa2PEhOX5slnoVBISrz9faWg3oEYo4p2Ge3c4CeXrQAW43Mj3vMON1igWL0Cl1GddMzrTfoJJt-7qlANd9RTc8s98sWZKFAk0p_asH2yCva1cIlLqUpxPStAoLxX9o1', 'width': 4224}]",ChIJRRnxhBdHPWgRYzwLs7guKCA,"['lodging', 'point_of_interest', 'establishment']",4.8,4.0
