formatted_address,geometry,name,photos,place_id,rating,types,user_ratings_total
"Jl. Gajah Mada No.56, Karang Siri, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85511, Indonesia","{'location': {'lat': -9.8593808, 'lng': 124.2691554}, 'viewport': {'northeast': {'lat': -9.858284270107278, 'lng': 124.2702630298927}, 'southwest': {'lat': -9.860983929892722, 'lng': 124.2675633701072}}}",Timor Megah Hotel,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102955835313014699808"">Timor Megah Hotel</a>'], 'photo_reference': 'AUGGfZneeJ2WadWNrKL5Fy_ASqyOzbQ_YA4S6rqLAjuycgFUYaNu7udKmsjf5frWVPF8LU9tFIiZf1Ihm4BS5DqWJSQd86hyHmri-YCaAUd2Q_oZ_I1N1RSdVpCj4-YxrcpeHe0rIqnYaE-dJjJ1gmQWRpAx_vzCOy54lHSvlKE4zYnJdPR8', 'width': 2048}]",ChIJA5PComjvVSwRDLo8SMj1D3A,4.0,"['lodging', 'point_of_interest', 'establishment']",569
"Jl. Hayam Wuruk, Pasar Inpres, Taubneno, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85511, Indonesia","{'location': {'lat': -9.858455099999999, 'lng': 124.2857261}, 'viewport': {'northeast': {'lat': -9.856990170107279, 'lng': 124.2870422298927}, 'southwest': {'lat': -9.859689829892723, 'lng': 124.2843425701073}}}",Dena Hotel,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110742355455065637821"">A Google User</a>'], 'photo_reference': 'AUGGfZlgIgz-hzMkjmryPgM-Y-Zr9GJGoqgL9PMxJJeM8AEmJflfkkdaipNhTqWiGo5HHrZ8Hz0ka5Bb2Lp0rKlQrx2oMSTj_-r7PcVL8S3KDPPLlLT0oLaaPfpRuaSet3--qUkf9PbLEMbEzSqlCnI1JYcsTc9P45st-WN1jyKIQDM1SdzN', 'width': 4000}]",ChIJoSaUIHjvVSwR9OL8T7mOzvo,4.2,"['lodging', 'point_of_interest', 'establishment']",424
"47M5+P26, Jl. Gajah Mada, Kesetnana, Kec. Mollo Sel., Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.8657253, 'lng': 124.2575725}, 'viewport': {'northeast': {'lat': -9.864389170107279, 'lng': 124.2589503798927}, 'southwest': {'lat': -9.867088829892722, 'lng': 124.2562507201073}}}","Blessing hotel Soe ""feels like home""","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103738172773926198910"">Ronnie Hereskie</a>'], 'photo_reference': 'AUGGfZk26xqlhC5oxhmQQLZDIU9keOYoOtO39wecoHOAoYi9dKENcVVTzFwJugKPuDMxHVSPFc6-JACt_Kgs7SsoIynpqo6Gvp48wqCu562LQtVDU3zWbIIMurepiyTYS0MgVGMCWT5dNxZ-DmiWDIazjqu3_ZYo5OCxEGh2zqJ82xYhFUWH', 'width': 2268}]",ChIJO_HO6VvvVSwRTd1aIeHbOWA,4.3,"['lodging', 'point_of_interest', 'establishment']",150
"Jl. Gajah Mada No.7500, Karang Siri, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.8603454, 'lng': 124.2706054}, 'viewport': {'northeast': {'lat': -9.858936270107277, 'lng': 124.2718786798927}, 'southwest': {'lat': -9.86163592989272, 'lng': 124.2691790201073}}}",Hotel Gajah Mada,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115360756521381996484"">A Google User</a>'], 'photo_reference': 'AUGGfZm3ddIIllNnuIivY6vgyxSD9sesWAMPuUIGari4SPqMJp_x2uqQdjurhWf5axPNcRmc8TGautACoRWU5C4LhUljlFOmTxYE72CGe0tC-HfdQFOBZvO9f4GJqKsEdVdcUMj3EqkTSGoC0dd8u2Z1EPeN6z1Lh8IfLEWXGfBx1WcKQ-Ug', 'width': 4624}]",ChIJJV8m9GXvVSwRCptobDUTmGM,3.4,"['lodging', 'point_of_interest', 'establishment']",127
"47R6+7QM, Jl. Gajah Mada - Soe Kobelete Soe Timor Tengah Selatan, Karang Siri, Soe City, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8592827, 'lng': 124.2619411}, 'viewport': {'northeast': {'lat': -9.857940670107277, 'lng': 124.2633062298927}, 'southwest': {'lat': -9.860640329892721, 'lng': 124.2606065701073}}}",Hotel Bahagia 2,"[{'height': 2608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107965473745243906851"">Daud Ufi</a>'], 'photo_reference': 'AUGGfZmGgvNWwKhG4f_9HYFnQy0Rxq_Ft71hNqv_um_ZRV2f8JSIXMaLCNut_n1gxJsB5xvzvefUapi8BFeWgueqwZbKgSwaf1Jv212nlujm-J3rKB9in9POTJpL1wjFVzT-_PWJn5d6Koc0WWyHLaXttEjIdjnd146hMFhmxV8ka_lIYKyz', 'width': 4624}]",ChIJxwlo-0LvVSwRfouqvdQ0cek,4.0,"['lodging', 'point_of_interest', 'establishment']",612
"47MJ+WGQ, Kampung Baru, Soe City, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8651837, 'lng': 124.2813641}, 'viewport': {'northeast': {'lat': -9.863871220107276, 'lng': 124.2826992798927}, 'southwest': {'lat': -9.86657087989272, 'lng': 124.2799996201072}}}",Hotel Bahagia 1,"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114439426262141736229"">Gilbert Amtiran</a>'], 'photo_reference': 'AUGGfZlLDCwVfqOnl_XniHLscy8zv27beWjj0wFEOzCzuYjo2veNXGvRvPpqo8Bu5HBciN7IKxTEEdH4gtDY1eNNTuzOpTXIah7EzulvqNIQgDVTORNSGo3Sq_LWVJtm05V4rGZtgkEqKq7cequh1-Gv2ESEDs6S2ke_E3qLXq7haac7pMDL', 'width': 4096}]",ChIJZ7598rvvVSwRHZ3owzS0gUM,4.1,"['lodging', 'point_of_interest', 'establishment']",84
"Jl. Gajah Mada No.18, Karang Siri, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.861810100000001, 'lng': 124.2727129}, 'viewport': {'northeast': {'lat': -9.86050152010728, 'lng': 124.2740490298927}, 'southwest': {'lat': -9.863201179892723, 'lng': 124.2713493701072}}}",Hotel Sejati,"[{'height': 840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106894563731731415331"">eka sari</a>'], 'photo_reference': 'AUGGfZm3SApm5ZwQdRifLy_5qmjfglRiJp0NsP2JA5pvv4mUhxiYQO3uiT0n_sm1ONmciH_Mn78HYdOukmVuTJrUq0tOsyMHVhODVd6Le1HhmCW_dn-7QWZTEA1a5CdOBK5IM6J-PXJfSjMcQ95JZ6as8uBxYp3lZFX0n-NelV0KyRB3VBtd', 'width': 1280}]",ChIJTTCSBmXvVSwRYku1tVfeI9I,3.7,"['lodging', 'point_of_interest', 'establishment']",87
"So'e, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85511, Indonesia","{'location': {'lat': -9.8654493, 'lng': 124.2793068}, 'viewport': {'northeast': {'lat': -9.86414477010728, 'lng': 124.2806734798927}, 'southwest': {'lat': -9.866844429892724, 'lng': 124.2779738201072}}}",Puri Dewata Soe RedPartner,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105820518175804615109"">Riki Junaedi</a>'], 'photo_reference': 'AUGGfZkT0ryhACoJ9nOmoOHOiCP53sbnSB4N3QA8z8DSohUw02qt5R2q7RgFcd5pTtyoe5u1U1alY_wuEjKo5Cncqlu0-wMd2BCeTZcocgPmLrYj9rKbTF3qMo67LEikWqPz1eEQ2Omq4gMBZsvItOXpZGUFQyN39T_Qg8pNPvzAoLkmok8t', 'width': 4624}]",ChIJPc3GJRTvVSwRXfGHXVpCi3g,4.3,"['lodging', 'point_of_interest', 'establishment']",13
"47RP+M2X, Kota Baru, Soe City, South Timor Tengah Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.8582473, 'lng': 124.2851162}, 'viewport': {'northeast': {'lat': -9.856963370107279, 'lng': 124.2864865298927}, 'southwest': {'lat': -9.859663029892722, 'lng': 124.2837868701073}}}",Roda Pedati,"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103172525897195687035"">Efrizal Freeze</a>'], 'photo_reference': 'AUGGfZmhS7UUK6PoyQJ3nz6YJ8egL83DKidHFqq3epQbm_Re7CcG86EYzzv_gMhEa4w38EqMUnaotiK2bxZaFQXPMUQV4AcaNnugpmBW3fYARzY9fwqo36G3xF2UuMdYWxeVHuxXlYRGYbYgl1sQPEZypTM-Bs2ypOP8Qrq3ib2X21skBCEJ', 'width': 4618}]",ChIJYel0Q5HvVSwRuvle8XgJuvo,4.0,"['lodging', 'point_of_interest', 'establishment']",9
"47QG+RR9 So'e, Kp. Baru, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85511, Indonesia","{'location': {'lat': -9.860471, 'lng': 124.2771}, 'viewport': {'northeast': {'lat': -9.85888227010728, 'lng': 124.2785848798927}, 'southwest': {'lat': -9.861581929892724, 'lng': 124.2758852201073}}}",Puri Dewata Soe RedPartner,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118210436845761718046"">A Google User</a>'], 'photo_reference': 'AUGGfZl2hOa4Nkzqmw4DqPeCZkbJYEm9Cnbog1brPlUyBoCGlK0LeVXYAU3SE3kqvBmbpr5mnprB4FCMcvvin3HI5-VlJ_ywqexfMWnL3VwJe5p96648ZMCTtVnf-fisG-pvIlklPIKnGjDs2zUDByZtXZmjt8MLFrZVUylanBLZ6Ss_6GpC', 'width': 1080}]",ChIJn4tQlHrvVSwRAlLEXL71iv0,1.0,"['lodging', 'point_of_interest', 'establishment']",1
