formatted_address,geometry,name,photos,place_id,rating,types,user_ratings_total
"4X8P+H75 Huta janji, Jambur Nauli, pagarsinondi, Kabupaten Tapanuli Utara, Sumatera Utara 22474, Indonesia","{'location': {'lat': 2.1164009, 'lng': 98.9856564}, 'viewport': {'northeast': {'lat': 2.117750979892722, 'lng': 98.98684847989271}, 'southwest': {'lat': 2.115051320107277, 'lng': 98.98414882010728}}}",Bagas Nature,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109788860257886809851"">A Google User</a>'], 'photo_reference': 'AUGGfZmiVzbKNoUUKOl7SH5Vpy1wCa0g-jvW6vYIP2IitEZI7dxXIJB3eGJmjnt61GwQtW83rie06-goIV1h_2tAYVEtzf1r91PK6pBFdT-6ExO9R4c3ol2ecSSrjmlieIf1XZ3JTL8TPIWRLBQFih8j9HrN9Lh_5u71hYzp9aUuKq5wSCOe', 'width': 1920}]",ChIJOavvPvttLjARYubtDsiOLqs,0.0,"['lodging', 'point_of_interest', 'establishment']",0
"8VVM+FR4, Pulau Sumatera, Kabupaten Tapanuli Utara, Sumatera Utara 22476, Indonesia","{'location': {'lat': 2.3436043, 'lng': 98.8845642}, 'viewport': {'northeast': {'lat': 2.344888629892723, 'lng': 98.88588477989272}, 'southwest': {'lat': 2.342188970107278, 'lng': 98.88318512010729}}}",Humisar resort,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113100751643926946810"">Paulus Aritra</a>'], 'photo_reference': 'AUGGfZkrxsV_8JuQJ5Y6jgaVWonxdm0fKZuNWFyoRYr2yArqEcrTYrI79A2Wv_f-q4pfjpB7MldYw5Z4SiZRpaY14t90tC6Brwi-AH4od_SmIX2uyQjKMRn6RNxOFeufA8y8UythNTiT7sz-g0ekvQrhDCixljdZS33CPbLAQHXrWfe9Ih0b', 'width': 3120}]",ChIJAbjEbtYZLjARXavl2dwVyYg,5.0,"['lodging', 'point_of_interest', 'establishment']",5
"X4GH+3CJ, Godung Borotan, Pangaribuan, North Tapanuli Regency, North Sumatra 22472, Indonesia","{'location': {'lat': 1.9744728, 'lng': 99.1278474}, 'viewport': {'northeast': {'lat': 1.975903929892723, 'lng': 99.12915192989273}, 'southwest': {'lat': 1.973204270107278, 'lng': 99.12645227010728}}}",Op. Humasan Gultom,,ChIJNSdfUdV3LjARTqfWw31UePY,5.0,"['lodging', 'point_of_interest', 'establishment']",2
"8XJ9+GR8, Sitanggor, Muara, North Tapanuli Regency, North Sumatra 22476, Indonesia","{'location': {'lat': 2.331279, 'lng': 98.9695658}, 'viewport': {'northeast': {'lat': 2.332309779892722, 'lng': 98.97102122989273}, 'southwest': {'lat': 2.329610120107277, 'lng': 98.96832157010728}}}",Sitanggor Resort,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116896650084606932933"">A Google User</a>'], 'photo_reference': 'AUGGfZndCNP3_0xdD_AGL5rdz7tmfGDncTKAf0VACB2Od4qKjcwPu5V9yC4B18eDqzkhnjI-sF7Wl_NSkGnWLfLrPWsC5EHlOcPw4Y59NeyyOq4it5EvkFVfXjOjKUZ10TABKwynlfTvHLxQmch1lOR_O_hxN9RXaGTL_gx_p7DazFTy9lNV', 'width': 3120}]",ChIJu9PXlgobLjAR8P0u8NE46YM,4.0,"['lodging', 'point_of_interest', 'establishment']",9
"X4FF+9V5, Godung Borotan, Pangaribuan, North Tapanuli Regency, North Sumatra 22472, Indonesia","{'location': {'lat': 1.9733903, 'lng': 99.12473229999999}, 'viewport': {'northeast': {'lat': 1.974715929892722, 'lng': 99.12604662989273}, 'southwest': {'lat': 1.972016270107278, 'lng': 99.12334697010728}}}",Kampungku Parlombuan,,ChIJzz1qPUp3LjARD-xFZlO6SDQ,5.0,"['lodging', 'point_of_interest', 'establishment']",2
"Jalan raya lintas sipahutar pangaribuan, desa, Aek Nauli IV, Kec. Sipahutar, Kabupaten Tapanuli Utara, Sumatera Utara 22471, Indonesia","{'location': {'lat': 2.0256363, 'lng': 99.11938579999999}, 'viewport': {'northeast': {'lat': 2.027001129892723, 'lng': 99.12076882989273}, 'southwest': {'lat': 2.024301470107278, 'lng': 99.11806917010728}}}",Hotel Pondok Daun - Onan Tukka,"[{'height': 468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100623747593379394143"">A Google User</a>'], 'photo_reference': 'AUGGfZk8mt7GT-aV2DwEKUjezmq8jFfKdDFY9Cp_wBUqeLm2tjALHN03aQG8qv0Of7jRabdLIBBT_6pQGdm_H54r_oZ4EGU7xxAN-eBqSCasY-AP9FnleYd2MfWYTljER1eOgypBd4TS-E7LgRNKD4eocbmuVGUAwEQIVKLYbaiGC5kh3EpI', 'width': 1040}]",ChIJbV6oCzR3LjARVcWCbPob4hs,4.5,"['lodging', 'point_of_interest', 'establishment']",2
"6W9H+6PG, Lumban Ina Ina, Pagaran, North Tapanuli Regency, North Sumatra 22475, Indonesia","{'location': {'lat': 2.218061, 'lng': 98.92935229999999}, 'viewport': {'northeast': {'lat': 2.219455879892722, 'lng': 98.93064997989272}, 'southwest': {'lat': 2.216756220107277, 'lng': 98.92795032010727}}}",Op.Devi House bru lubis,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103055444917545735965"">A Google User</a>'], 'photo_reference': 'AUGGfZnANecW1VisgWH2B53cCtYkWynXCuJaXzXyXY815BUiNf6fUTE86K0FO9X4DRci_EfEE-Ukhaa7nWtbwW5bKDDdPWrS-8Ljp7dLP1n9vj--6lfpcHbiGUFkSA_jOFTAvNeeBe06BM83pICSe0ZV35IHbKS_P3oHfgdqWV0EbuBE6q-L', 'width': 3264}]",ChIJ9dkzmyERLjAR5Cch2jD3v9g,0.0,"['lodging', 'point_of_interest', 'establishment']",0
"6V58+C4J, Lumban Sitogu, Kec. Pagaran, Kabupaten Tapanuli Utara, Sumatera Utara 22475, Indonesia","{'location': {'lat': 2.2085789, 'lng': 98.86527319999999}, 'viewport': {'northeast': {'lat': 2.209958779892723, 'lng': 98.86665062989272}, 'southwest': {'lat': 2.207259120107278, 'lng': 98.86395097010727}}}",MARXALL RESORT,,ChIJtz_IjpYXLjARkWDHPsQlw5Q,3.0,"['lodging', 'point_of_interest', 'establishment']",1
"8WJF+P7R, Simatupang, Muara, North Tapanuli Regency, North Sumatra 22476, Indonesia","{'location': {'lat': 2.3318513, 'lng': 98.9231545}, 'viewport': {'northeast': {'lat': 2.333386729892722, 'lng': 98.92481847989272}, 'southwest': {'lat': 2.330687070107277, 'lng': 98.92211882010729}}}",Simatupang,,ChIJAZ-YNwAZLjARJZa0XyVDLTk,0.0,"['lodging', 'point_of_interest', 'establishment']",0
"Cafe A, Jl. Jct. Simorangkir, Si Raja Hutagalung, Kecamatan Simorangkir, Kabupaten Tapanuli Utara, Sumatera Utara 22416, Indonesia","{'location': {'lat': 2.0150494, 'lng': 98.9966611}, 'viewport': {'northeast': {'lat': 2.016447329892722, 'lng': 98.99799677989273}, 'southwest': {'lat': 2.013747670107278, 'lng': 98.9952971201073}}}",OYO 91562 Hotel & Cafe Angkasa Golat,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109554163721834487526"">Yui san</a>'], 'photo_reference': 'AUGGfZmdxAvFxuNSCL3WV95jS-t9MyakD8dXM5p6raMClMezxOU5Bd7MmsAQfXgfjDIrvTKVJSBU6WcjgEC8CBNI8GfQoQPHd8mwBWj_pM-q5cCynNbBbImIV6DEF9q2C8_Kamg776RbD8mZSX4Tm9WS78t1RAKFQBEXIfIh4gCYQ_nNhJEu', 'width': 4000}]",ChIJY9BEdm1vLjAR1nlQWyVnXXo,3.8,"['lodging', 'point_of_interest', 'establishment']",4
