formatted_address,geometry,name,place_id,rating,types,user_ratings_total,photos
"74FH+3Q, Kahale, Kodi Balaghar, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7273701, 'lng': 119.1294038}, 'viewport': {'northeast': {'lat': -9.726020270107277, 'lng': 119.1307536298927}, 'southwest': {'lat': -9.728719929892723, 'lng': 119.1280539701073}}}",Pantai sembunyi,ChIJA5vWChztSiwRAMb1xqxYDw4,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,
"9295+J58, Unnamed Road, Wainyapu, Kec. Kodi Balaghar, Kabupaten Sumba Barat Daya, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -9.6309553, 'lng': 119.0079624}, 'viewport': {'northeast': {'lat': -9.629725070107277, 'lng': 119.0092896798927}, 'southwest': {'lat': -9.63242472989272, 'lng': 119.0065900201073}}}",SITUS KAMPUNG WAINYAPU,ChIJzTttOJSVSiwRHop9o7Sn2P4,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110399213192789449976"">A Google User</a>'], 'photo_reference': 'AUGGfZne4qwasf_bcDclKg9BMZNiKLPohZuSD2PJHe_RG5qsVAHydPu0CfQpFG1lyHsvmtDUtlHFG0rB_Dl3N7nzDhRFIPMNytPitjOqkplZ_yEGTGuP5v5-JviuuL5RoO3G7GoBPAHQCoPOmWtqLWw6kWxophf6W-XZPCF88DaI5U7hkKq8', 'width': 590}]"
"92F3+369, Umbu Ngedo, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.627338800000002, 'lng': 119.0031009}, 'viewport': {'northeast': {'lat': -9.625882320107278, 'lng': 119.0043007298927}, 'southwest': {'lat': -9.628581979892722, 'lng': 119.0016010701073}}}",Ratenggaro Traditional Village,ChIJaep9aNS_SiwRfib-FrPntMA,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",527.0,"[{'height': 4330, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105309212622186766855"">Sofyan Komarudin</a>'], 'photo_reference': 'AUGGfZlAJcE-RTl7wtb9h_wRPqAss5CZbhRGTxrS20R0b8YF_LtJirfI6cDOv0VszgKIfegRUwmny7Dv3AsBpLczBqOGGLIdY-TYY1MPK8oDJEG_dr5_6qwDAzMa-xP4BxHtooGjFN1OChX1BenK5XgSdCwhV2As5ojaCB_lmv31MDY_DpXJ', 'width': 5773}]"
"74H8+M8W, Kahale, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7207679, 'lng': 119.1158348}, 'viewport': {'northeast': {'lat': -9.719418070107281, 'lng': 119.1171846298927}, 'southwest': {'lat': -9.722117729892725, 'lng': 119.1144849701073}}}",Pantai Tory,ChIJddgcI5ftSiwR9fJABv7LGOE,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110399213192789449976"">A Google User</a>'], 'photo_reference': 'AUGGfZnbektW0oXmGDMTBHSo03ZExCGcNmue1UwqIZ48GFSFB7dUL9Un4kaI-iVPdHlrA72DrdkJahVTKiy_bT-RY7WFGViw93Z6tAsNvNjUM1qzgTCpd96_YvwB3XQ-qKT89WA4TTKsJ8nb4dxhgLUgGFWAoioHtLKlP_EjPVYUw5WVvcm1', 'width': 960}]"
"Umbu Ngedo, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6298283, 'lng': 119.0027695}, 'viewport': {'northeast': {'lat': -9.628451220107278, 'lng': 119.0039587798928}, 'southwest': {'lat': -9.631150879892722, 'lng': 119.0012591201073}}}",Pantai Ratenggaro,ChIJYS5MCtW_SiwRqFudWSp9M9Q,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",250.0,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110160579061576055188"">SIMON HAZARIKA</a>'], 'photo_reference': 'AUGGfZmrNDVVQw-U7XRZCYVOUhs6udb1SUVE5C-Cjg_NxUyVHC4PRfLiUqHr2tH_PholCi7hFiSD97nzuzbJQBdvngk3nLWjMPtOSjE4iblzJtdiwh6ISa9vTtj89k7bfMQlPWvdOs4QlQ3M2tIRL0msS7Kq2G4aETswn9Ges3jlkdRoED73', 'width': 4608}]"
"74P3+FRC, Kahale, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.713805899999999, 'lng': 119.1045183}, 'viewport': {'northeast': {'lat': -9.712456070107278, 'lng': 119.1058681298927}, 'southwest': {'lat': -9.715155729892722, 'lng': 119.1031684701073}}}",Pantai Watu Malandong,ChIJT-Wohm_sSiwRRpYr-Q6jLXw,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",101.0,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118017377399156346113"">A Google User</a>'], 'photo_reference': 'AUGGfZm4ktwXFRyly1z-An5r9lUUWix0VHfpZmOx7TXlRKnwWzMH35oSEloXjvVbaNCI_TNcs6MpYzHHZryNzKQYZUYBaX8CT7WhClvWfqI_Rk8EausD6YvAlEuCbwon67Pr-4-G_NpN6lo0OLxD9bwquzKuLtp8LBBMBjnzX8lUP6ckKuQg', 'width': 3840}]"
"73MR+WHR, Panenggo Ede, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.7151272, 'lng': 119.0913899}, 'viewport': {'northeast': {'lat': -9.710460850000002, 'lng': 119.09385065}, 'southwest': {'lat': -9.716682649999997, 'lng': 119.09056965}}}",Mareha Cape,ChIJ2TS1FYbsSiwRK5_OLVguB-c,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",68.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116599405452282578081"">Simon Rajagukguk</a>'], 'photo_reference': 'AUGGfZnrETjCFWlUWQF5TcVnVeprCXPahknX2_TM10_1PUqoJ8xwHwW1TK48qF-Vuwk1sL_Ho32VAmKiUdu2J6num9pYIAQ_rJ5tk7v2MNh_ygxtrnpn-cTHHsM2TzePqrQnpvcZsaX8loXoeaeXNQTGAXGL3bAd3nh-OdYdelyrkRyxF04y', 'width': 4032}]"
"CX4W+HG, Dinjo, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.5935052, 'lng': 118.9962264}, 'viewport': {'northeast': {'lat': -9.592060520107278, 'lng': 118.9976762798928}, 'southwest': {'lat': -9.594760179892722, 'lng': 118.9949766201073}}}",Kali Bondo Kodi,ChIJCa_KEgC_SiwReyBsp9Q88k0,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 1040, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101502576149787067646"">A Google User</a>'], 'photo_reference': 'AUGGfZm1fgxyzpg7vRtVqTr4iIX9NrBubj0ee-m_n6Ix7Nz9H3gqmzn6U4Lh1-PqtlbRB06WYPxUjDlvdCuIQPUlgqOXh1rHv_P0OqvzbLBbCSXkYVGg1Dg6sBL-CTEmsOMaNb4wh2Lz7Rw23BfdiW-le_dk8OXfIY8d_VrTyxM0op4GMkni', 'width': 488}]"
"9XRV+5GX, Lete Loko, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.609508, 'lng': 118.9938486}, 'viewport': {'northeast': {'lat': -9.60814682010728, 'lng': 118.9952049298927}, 'southwest': {'lat': -9.610846479892723, 'lng': 118.9925052701073}}}",Paranobaroro Traditional Village,ChIJ08Dw1Eu-SiwRbrJmmvMterU,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100586370567453266952"">Richard Nuska</a>'], 'photo_reference': 'AUGGfZmaAcp3Fgp7tDANgxKr1XTGoaAn6i0EKztNB_M17GOrE4rpaP8Pf5wKuyPz0q2YOtR62Vg8-EwAq0kQCZjVdTZKmDGszOBEM4nkgI_GgXNsbfCpIycS_7JqHeHJaui6-6gW_cSYpCoECZ7iELOfLnDIP1aLOJkB92A8YKEfKTbJTDEZ', 'width': 3024}]"
"929P+VC9, Umbu Ngedo, Kodi Bangedo, Southwest Sumba Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -9.6303293, 'lng': 119.0361129}, 'viewport': {'northeast': {'lat': -9.628979470107279, 'lng': 119.0374627298927}, 'southwest': {'lat': -9.631679129892722, 'lng': 119.0347630701073}}}",Air terjun BATAMA,ChIJ7bp8LgCVSiwRr_eOtPyIIuE,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
