formatted_address,geometry,name,place_id,rating,types,user_ratings_total,photos
"C5J3+8H8, Paharangan, Daha Utara, South Hulu Sungai Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.5692235, 'lng': 115.1539633}, 'viewport': {'northeast': {'lat': -2.567873670107278, 'lng': 115.1553131298927}, 'southwest': {'lat': -2.570573329892722, 'lng': 115.1526134701073}}}",Kalang Hadangan Paharangan,ChIJp-UfFgAX5S0RKKjj-XW2fTg,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"C45M+CW2, Hamayung, Daha Utara, South Hulu Sungai Regency, South Kalimantan 71253, Indonesia","{'location': {'lat': -2.591478, 'lng': 115.134772}, 'viewport': {'northeast': {'lat': -2.590128170107277, 'lng': 115.1361218298927}, 'southwest': {'lat': -2.592827829892722, 'lng': 115.1334221701073}}}",Kalang Hadangan Daha Utara,ChIJ2b5Q5dMQ5S0RJQk3_mRU3fw,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",14.0,"[{'height': 1872, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102380785354760495697"">zaini zai</a>'], 'photo_reference': 'AUGGfZlFZ_kdchwJ06g7vDQbRVAN2AgbdBJhtFSPHJQdVHon71d-oARz8ZodoECiWIYG0eos9BdpXr6SGOwvhXfluyQWdZ2gCAiB6g8Ii0urRMIsLC8BQQRzyoawzDr6jyvFy7FqjdtP8xofoyvWHv89I2BkkO4WKM3YTqUop5Ijm7CIo4mc', 'width': 3328}]"
"G4F5+2RW, Jl. Alabio Danau Panggang, Sungai Namang, Kec. Babirik, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71454, Indonesia","{'location': {'lat': -2.4773275, 'lng': 115.1101765}, 'viewport': {'northeast': {'lat': -2.476096320107277, 'lng': 115.1111164298927}, 'southwest': {'lat': -2.478795979892722, 'lng': 115.1084167701073}}}",Wisata Rawa Sungai Namang,ChIJzSrSGLI95S0R03NV33soyUA,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",8.0,"[{'height': 2128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117254014465890799280"">A Google User</a>'], 'photo_reference': 'AUGGfZk48Sd-hTQj6vipvdYcuOi9LYo-CNesOaE-V5Lyw6c6nTvEpbsCVbJULAbpTece835USXbtpbdsos3RDAy0fNw0j1Ee3HBdy8pghedLkGH6mSDsdMBRyvPV7OuzCoVnA8Op5VaO0Vl1HW2MSQf0knfgj5gnensA2YtepGaDmLKZz-k9', 'width': 4608}]"
"M859+C7Q, Jl. Amuntai - Kelua, Tayur, Kec. Amuntai Utara, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71554, Indonesia","{'location': {'lat': -2.3414208, 'lng': 115.3182273}, 'viewport': {'northeast': {'lat': -2.340062120107277, 'lng': 115.3196073798927}, 'southwest': {'lat': -2.342761779892722, 'lng': 115.3169077201073}}}",Simpang Tiga Perbatasan,ChIJGfeAiRBJ5S0R6diEx6MExGM,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"H77J+WF, Rantau Bujur, Banjang, North Hulu Sungai Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.435163, 'lng': 115.281235}, 'viewport': {'northeast': {'lat': -2.433813170107277, 'lng': 115.2825848298927}, 'southwest': {'lat': -2.436512829892722, 'lng': 115.2798851701073}}}",Kaludan,ChIJvXIy0-w55S0RCRj_Dnk49u4,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"H44X+7XV, Long Kong, Danau Panggang, North Hulu Sungai Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.4442641, 'lng': 115.1499095}, 'viewport': {'northeast': {'lat': -2.442933920107278, 'lng': 115.1512508798927}, 'southwest': {'lat': -2.445633579892722, 'lng': 115.1485512201073}}}",Longkong Paunjunan,ChIJa9coVb495S0Rr9aoj7hz7CQ,4.1,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114903993810288815523"">A Google User</a>'], 'photo_reference': 'AUGGfZkTQgoGH05Mh3wdIj_ahk0HrpEbEuST1tOwEZ4W69PpF9ygaYRnJifx7OgYjFtjVLOoMjMhVVBrH_98nw4dffsesQcNoplf3_p121ePQQcy17IQzakyofrTo2DV950a7sNrt8ZcBSsVqcW7QxIXv3zxm1DlCV3sqHd_-_Ld3HHcG5zQ', 'width': 3120}]"
"H42F+7PQ, Teluk Mesjid, Danau Panggang, North Hulu Sungai Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.4492847, 'lng': 115.1243526}, 'viewport': {'northeast': {'lat': -2.447904720107278, 'lng': 115.1257114798927}, 'southwest': {'lat': -2.450604379892722, 'lng': 115.1230118201073}}}",Area Pancing ikan,ChIJM-M2SwA95S0RXE0L-_GegGI,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,
"H7P2+W6Q, Bayur, Haur Gading, North Hulu Sungai Regency, South Kalimantan 71471, Indonesia","{'location': {'lat': -2.4118673, 'lng': 115.2515126}, 'viewport': {'northeast': {'lat': -2.410514820107278, 'lng': 115.2528520798927}, 'southwest': {'lat': -2.413214479892723, 'lng': 115.2501524201073}}}",Bypass Pamintangan,ChIJi10_PQA55S0RZKQO6RunnCw,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"H8R7+8RG, Banjang, North Hulu Sungai Regency, South Kalimantan 71661, Indonesia","{'location': {'lat': -2.408915, 'lng': 115.314542}, 'viewport': {'northeast': {'lat': -2.407534520107278, 'lng': 115.3159006298928}, 'southwest': {'lat': -2.410234179892722, 'lng': 115.3132009701073}}}",Rumah Talipuk,ChIJ9X8TagBH5S0Rqv-NETKNosM,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,"[{'height': 1828, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111465047983746321006"">syarifudin saja</a>'], 'photo_reference': 'AUGGfZnFbcIZaZ5RxtXidG_77ncddySaF00udYH7L0FQS71KCvv6VtFXRGGM8gFIGk3_reEnHuAfUzDR-aVvoSNgddtEdCj6j4Er7TB7D4dcfv2ydWiBOiRzh4eibu_-MneIAUw0BPOW6ODgdn3SqkxFxc2M-MsJzth1iPiVRECqWdR2ZW5B', 'width': 1080}]"
"H6H5+3HQ, Unnamed Road, Banyu Hirang, Kec. Amuntai Sel., Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71418, Indonesia","{'location': {'lat': -2.4223326, 'lng': 115.208961}, 'viewport': {'northeast': {'lat': -2.421208120107277, 'lng': 115.2099072798927}, 'southwest': {'lat': -2.423907779892722, 'lng': 115.2072076201073}}}",Rumah Terapung Banyu hirang,ChIJ62zk9oM55S0RnkwTW6GcNnQ,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",25.0,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110110742746239612962"">Panji Wicaksono</a>'], 'photo_reference': 'AUGGfZkkh-hGe59udZBy_Dz6IO06ItgB5_3xCYd_YnGrA7qBTEQ2PZYQk1LiOTnMIq5kgYssJKEN0yE1fe5EYWz03xXhVEuqT-kCRN9TRgj44dSPmV3wBtdQ7xp_uWXDRssM2GJHyjouyTdURHIBE-B9_7OhlAsW3w3H81mBRbS-niFUZoG4', 'width': 4000}]"
"H8X5+4QX, Teluk Sarikat, Banjang, North Hulu Sungai Regency, South Kalimantan 71661, Indonesia","{'location': {'lat': -2.4016367, 'lng': 115.3093508}, 'viewport': {'northeast': {'lat': -2.400325170107278, 'lng': 115.3107055298927}, 'southwest': {'lat': -2.403024829892722, 'lng': 115.3080058701073}}}",Kubah Girap,ChIJWTn43JhH5S0Rw0MpJAMRIt0,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"Pulantani, Haur Gading, North Hulu Sungai Regency, South Kalimantan 71471, Indonesia","{'location': {'lat': -2.3730708, 'lng': 115.2351206}, 'viewport': {'northeast': {'lat': -2.372293620107278, 'lng': 115.23864365}, 'southwest': {'lat': -2.374993279892722, 'lng': 115.23394625}}}",DERMAGA SWARGALOKA PULANTANI,ChIJPajjuIU55S0RvgVo9Nqp2Q8,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 1472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109549907368643729953"">A Google User</a>'], 'photo_reference': 'AUGGfZnpse6zPJ7gAF7pCrTVSznKcG-2kPUEWuiH8T97xHOTW6lANWofLzEbbELZi4wcZoqVISrrxZb7XUS2pcuXD9Dh3_hrNzI91QDgu0qLa5UlakCLTVI6GoYQCDvqN9_6Id-c78QF82kH0aMnz8GRkDXVszWf2R7kvhyCs-7j_ymtIRAp', 'width': 3264}]"
"J3Q7+CC, Tampakang, Paminggir, North Hulu Sungai Regency, South Kalimantan, Indonesia","{'location': {'lat': -2.3614078, 'lng': 115.0635404}, 'viewport': {'northeast': {'lat': -2.360057970107277, 'lng': 115.0648902298928}, 'southwest': {'lat': -2.362757629892722, 'lng': 115.0621905701073}}}",Pulau Sambujur,ChIJLwR2hSAv5S0RrfuXm7I077I,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",17.0,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100329594071617380312"">Syahrizal Anshari</a>'], 'photo_reference': 'AUGGfZlgH292v09joAbve9BHGQLHEK5gk8TKNl4F457u-kZGzch_SxTrS0D25teOiNBDLymKOeUYaMIs07EVzZnqZJ0SZn2cCttseYcxhd5H-mw0gBdJ7HJtkAXJRf_0Rc2ueCLPNDHBBzu7X9-toZZb9ns-yGJ3066Zvob00MDLI6q24_KI', 'width': 4624}]"
