formatted_address,geometry,name,photos,place_id,rating,types,user_ratings_total
"95XM+XG, Wailiti, Alok Barat, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.600007, 'lng': 122.183752}, 'viewport': {'northeast': {'lat': -8.598721320107277, 'lng': 122.1851699798927}, 'southwest': {'lat': -8.60142097989272, 'lng': 122.1824703201073}}}",Kali Dagar,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100928803969943121693"">A Google User</a>'], 'photo_reference': 'AUGGfZl04hrAEBhgAzXv3pNc_v7l0pOJarhQ_VxWtoHKJXBznEunW-4I9g_NYuMArSPirxr3w_Z1xVEL-NWEYS4xYijcC8f65X2MLG8VJaFukqIGjI_rK08G8MC2xBrihbFIw153ldyXyMWGkTfXOdI4nk2T8sF7MOfeF6Cd56v-tpEjuhdU', 'width': 1440}]",ChIJDeqYImgbrS0R9_1nG6o1Arc,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"95X9+HH3, Wailiti, Alok Barat, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6011188, 'lng': 122.1689284}, 'viewport': {'northeast': {'lat': -8.599768970107279, 'lng': 122.1702782298927}, 'southwest': {'lat': -8.602468629892723, 'lng': 122.1675785701073}}}",Pantai B_LanK,,ChIJ2UYQawARrS0RR1r7Px0s4ec,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"C5J9+C4H, Nangahure Lorong Mbola so, Hewuli, Kec. Alok Bar., Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.5689367, 'lng': 122.1678551}, 'viewport': {'northeast': {'lat': -8.567613070107278, 'lng': 122.1691595298927}, 'southwest': {'lat': -8.570312729892722, 'lng': 122.1664598701073}}}",Sanggar Mbola so,,ChIJkxOwVQARrS0RjwcgpiwFGSg,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"C4XV+894, Wuring, Alok Barat, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.551742599999999, 'lng': 122.1434614}, 'viewport': {'northeast': {'lat': -8.550547820107278, 'lng': 122.1446499798927}, 'southwest': {'lat': -8.553247479892722, 'lng': 122.1419503201073}}}",patisomba,,ChIJ6yBvh1EPrS0ReBkoL_SppHI,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0
"C59J+MVJ, Wailiti, Alok Barat, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.580788499999999, 'lng': 122.1821332}, 'viewport': {'northeast': {'lat': -8.579087620107277, 'lng': 122.1832635798927}, 'southwest': {'lat': -8.58178727989272, 'lng': 122.1805639201073}}}",B_Lank Beach,,ChIJu7U5OwAbrS0RonZbaccizm0,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"C623+242, Jl. Bengkunis, Wolomarang, Kec. Alok Bar., Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.5999805, 'lng': 122.2027536}, 'viewport': {'northeast': {'lat': -8.598617020107277, 'lng': 122.2040736298927}, 'southwest': {'lat': -8.60131667989272, 'lng': 122.2013739701073}}}",Wuring,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103880317300518867989"">Fitrah Aditya</a>'], 'photo_reference': 'AUGGfZmvNB_nAOkxbCZbT2RM_ZtxGOK3S9pT80Z7Nk7D4Rj-BYeAsuMgR_vvW2xYV1SDOacKqNcIuHqoLa8qIPed7tFJpSkqvpUSN3GVei-o-40_AGweZ7kNXXsItnVThGV2ZhpyhMMVmsXHccIONj3E-DTi-NJmCrOtxPsyzizkyqG6TLp5', 'width': 3024}]",ChIJUZyospobrS0R69t4pNIwnUU,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",48.0
"96G7+5VG, Madawat, Alok, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.624551499999999, 'lng': 122.2146964}, 'viewport': {'northeast': {'lat': -8.623201670107278, 'lng': 122.2160462298928}, 'southwest': {'lat': -8.625901329892724, 'lng': 122.2133465701073}}}",Shelter MARTHASPRING,,ChIJE1IbIgAbrS0Rb7g3nX4-oJc,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"Jl. Raya Maumere - Magepanda, Wailiti, Kec. Alok Bar., Kabupaten Sikka, Nusa Tenggara Tim., Indonesia","{'location': {'lat': -8.572296099999999, 'lng': 122.1952619}, 'viewport': {'northeast': {'lat': -8.570946270107276, 'lng': 122.1966117298928}, 'southwest': {'lat': -8.57364592989272, 'lng': 122.1939120701073}}}",Taka mbo minang,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112100131239608064164"">A Google User</a>'], 'photo_reference': 'AUGGfZkl0ZJKPfwzK76XSR0S10uE-_4H_8BpsIeAwfSmPXi5NtKAJGGUCdZ30EiApBYLhjlC73S6_NWt48d14a6QSfS8qaGeHR1UDfpxqGJc3z_WJFt05DKcoKxGF9daSMwLDmsVaZGCS_N8PWHHZIBuY_KzjdVz_E97TklWmXAYNfy0AOr1', 'width': 4608}]",ChIJV9o4GrYbrS0RUzp-raJPJpE,3.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0
"9569+W4G, Wuliwutik, Nita, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.6376849, 'lng': 122.1678276}, 'viewport': {'northeast': {'lat': -8.636189270107279, 'lng': 122.16877795}, 'southwest': {'lat': -8.638888929892723, 'lng': 122.16497655}}}",Taman Doa Maria Bunda Segala Bangsa,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101963883597907418702"">Ama Lebu</a>'], 'photo_reference': 'AUGGfZnLeaSNJNPlicHwKP8kfazKxHRLOKqiNaCSvo8ofbZoSs6DJ5XAeW7SyOGv-6fflGAq7VYkg8sWMA0CHvhTUlFRtXIH1UD7HnuhjQlwnvFgmsmwyBImN2X9IZpCFgcnsC8AgLWCwegV2jKKlf_KjoF1lckshfMhWI8LFmcPnuUJG_0H', 'width': 4640}]",ChIJBTr6mlMXrS0RGvIUh7J_VrQ,4.6,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",105.0
"C537+FJ6, Wailiti, Alok Barat, Sikka Regency, East Nusa Tenggara, Indonesia","{'location': {'lat': -8.5963323, 'lng': 122.1640259}, 'viewport': {'northeast': {'lat': -8.59481825, 'lng': 122.1648560500001}, 'southwest': {'lat': -8.600874450000001, 'lng': 122.16153545}}}",Air Terjun Aimitat,"[{'height': 957, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110867180862049665896"">A Google User</a>'], 'photo_reference': 'AUGGfZkm3y9UsI_8uNS2uHRwsRjcl8kbsMXysmZkMIjEpjTjQdPv_moPpqDbSNBF8qVQQmbCGsKfBfl8H64QClDWy-qSgk62piHbh9H3gPB9itB_klZMOAT7aMu-84LlE_f2GyAmUj5xMMPmk80ZXV6zV1dptW4Xhct7H_ew05aVhb9VujF5', 'width': 1280}]",ChIJ29CUiIgQrS0R9eKfBAKPrI0,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0
