formatted_address,geometry,name,photos,place_id,rating,types,user_ratings_total
"7Sungai Beringin, Sungai Beringin, Payakumbuh, Lima Puluh Kota Regency, West Sumatra 26251, Indonesia","{'location': {'lat': -0.2214319, 'lng': 100.584947}, 'viewport': {'northeast': {'lat': -0.2200702701072778, 'lng': 100.5862977798927}, 'southwest': {'lat': -0.2227699298927222, 'lng': 100.5835981201073}}}",Rumah Godang Sungai Baringin,"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102865008646046196611"">A Google User</a>'], 'photo_reference': 'AUGGfZmM27Bc621FvW_RAHjxE8kz_RpMwlRvogunUz61Q-drPL-ltcoSKD6QulLw0-ofLvxC4r54k25l8jjaD_z7cXI7f9Dz5ZdO-cD2GI3ncfQN4E7bGudjpNcgZtXFmqQCJKSBZ4TKMhabiorrkgQuIpajM7z2zBZxLKlSsH-bh3KaWoJ4', 'width': 4000}]",ChIJV6WfvmJL1S8RHppfStdXQqI,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",494.0
"RJ5M+6G2, Payonibung, Payakumbuh Utara, Payakumbuh City, West Sumatra 26251, Indonesia","{'location': {'lat': -0.1919811, 'lng': 100.6337806}, 'viewport': {'northeast': {'lat': -0.1907361701072778, 'lng': 100.6352633298927}, 'southwest': {'lat': -0.1934358298927222, 'lng': 100.6325636701073}}}",Pertemuan Batang Namang - Batang Lampasi,,ChIJL6QwmSazKi4RD54ohD3qIUM,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"Jl. Melati No.73, Bunian, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26219, Indonesia","{'location': {'lat': -0.2216619, 'lng': 100.6285771}, 'viewport': {'northeast': {'lat': -0.2203039201072778, 'lng': 100.6299866798927}, 'southwest': {'lat': -0.2230035798927222, 'lng': 100.6272870201073}}}",rumah koi bunian,"[{'height': 1808, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101258316732370874344"">A Google User</a>'], 'photo_reference': 'AUGGfZlh1o--gXYv-nAp95I5kUhAT3A4j3a3AFmumOtCp9p4ReVeEZUGWHCumNx2OtN-ZPSOJv4nlFr08-_5V5-xTMqg2L5mymVqMS1KdxYTPn-aPceGB1i6vGj6kjDVfmsCsRgcd71pDdSqdgOurc1jnmqTcZgwbv7O6qTv_ElfkV96ISo', 'width': 4000}]",ChIJTYawF_-1Ki4RtmiUq_-jrTU,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"Jalan Dewi Sartika, RW.04, Lingkungan Taruko, Kelurahan, Muaro, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26215, Indonesia","{'location': {'lat': -0.2087347, 'lng': 100.6544485}, 'viewport': {'northeast': {'lat': -0.2073803201072778, 'lng': 100.6557974798927}, 'southwest': {'lat': -0.2100799798927222, 'lng': 100.6530978201073}}}",Kampung Wisata Taruko,"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103379500703090330185"">Raidillar R Reodiaz</a>'], 'photo_reference': 'AUGGfZmhf2stMVoBb5GjrKZEdnL5AwEF2PUUTtoOqRmojr48ZK1ZUTRPWvlpBpUI3iO5JT-uPj_fLlBwULbwznFufCTqIpUwQLxEhY4DcWGsg3QsZIH_qf7CTAhwR3T1SZW5bMScB4wWzHewIgOaj6CGykybFCQMLCapoAsbV-mR35qh8sW7', 'width': 1080}]",ChIJl6RHBHGzKi4RSu0Z42pkx_0,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0
"QHH8+883, Unnamed Road, Piobang, Kec. Payakumbuh, Kabupaten Lima Puluh Kota, Sumatera Barat 26252, Indonesia","{'location': {'lat': -0.221734, 'lng': 100.5657832}, 'viewport': {'northeast': {'lat': -0.2203841701072778, 'lng': 100.5671330298927}, 'southwest': {'lat': -0.2230838298927222, 'lng': 100.5644333701073}}}",Bukit Layah Gando,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110141763521657441880"">IIM Halim</a>'], 'photo_reference': 'AUGGfZnZUd9xhtnY9lMQlwn1_dmJwQH0MT_pEQsGiYaUD__nXDH559lhYAY-d6NR2wbAafdh5Hnv4P5pa8momYXNJgasYRh-DZs0h4JzPdRUBWRAbs-pmQ-gmgMHy8zLh3Jvg2o5yNdILCsB_tL-qDPiGVKCGvF5sCqTN6S01gvuGRaf5Aop', 'width': 4128}]",ChIJ72qCOw9L1S8RZ7Bn9XQLebI,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0
"Pakan Sinayan, Payakumbuh Barat, Payakumbuh City, West Sumatra 26225, Indonesia","{'location': {'lat': -0.2549649, 'lng': 100.6042679}, 'viewport': {'northeast': {'lat': -0.2536360201072778, 'lng': 100.6056056798927}, 'southwest': {'lat': -0.2563356798927222, 'lng': 100.6029060201073}}}",Goa Ngalau Indah,"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107842435718390892307"">A Google User</a>'], 'photo_reference': 'AUGGfZmkq2XUPZDQ1zthUG-6fqXtzUR8AceKn0SO3P0rJz1TbXVHFRT21yMS0SU3LWErKm_cgXQ-RiLYZF7RX_VbjxV2cP9bqmN7zvzE9vIWVyiHhwLtDeGqkdD3pzStfXNta_8c_Z9xsAkVIQ7YE0v98sXNiXQODzjad9p-qgO4RQRszPdM', 'width': 1280}]",ChIJWQEq4SZL1S8R5ZPLdjixwr8,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",746.0
"QMJ8+7M5, Padang Alai, Payakumbuh Timur, Payakumbuh City, West Sumatra, Indonesia","{'location': {'lat': -0.2193602, 'lng': 100.6667268}, 'viewport': {'northeast': {'lat': -0.2180574701072778, 'lng': 100.66781165}, 'southwest': {'lat': -0.2207571298927222, 'lng': 100.66347225}}}",Pertemuan Sungai Baih - Batang Sikali,,ChIJ-VPoAQuzKi4Rn3yObwSp4cI,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"RM35+PQQ, Payolinyam, Payakumbuh Utara, Payakumbuh City, West Sumatra, Indonesia","{'location': {'lat': -0.1956718, 'lng': 100.6594899}, 'viewport': {'northeast': {'lat': -0.1937995201072778, 'lng': 100.6604494}, 'southwest': {'lat': -0.1964991798927222, 'lng': 100.6566114}}}",Pertemuan Batang Tembok Jua - Batang Lampasi,,ChIJLbNZiL2zKi4R-QQi1evbbYg,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0
"Taruko, Payakumbuh Utara, Payakumbuh City, West Sumatra 26216, Indonesia","{'location': {'lat': -0.2087676, 'lng': 100.654393}, 'viewport': {'northeast': {'lat': -0.2074190201072778, 'lng': 100.6557758298927}, 'southwest': {'lat': -0.2101186798927222, 'lng': 100.6530761701073}}}",Rumah Gizhaf,,ChIJ8zdZlpezKi4RKRJkGI5QVq0,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"PJJW+5FJ, Aua Kuniang, Payakumbuh Selatan, Ampangan, Kec. Payakumbuh, Kota Payakumbuh, Sumatera Barat 26233, Indonesia","{'location': {'lat': -0.269543, 'lng': 100.6461498}, 'viewport': {'northeast': {'lat': -0.2681863701072777, 'lng': 100.6475323798927}, 'southwest': {'lat': -0.2708860298927222, 'lng': 100.6448327201073}}}",Panorama Ampangan,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109833984332017859999"">Eka Setiawan</a>'], 'photo_reference': 'AUGGfZk0alPsHWWT59KoSaXGObdYIVFCk7MvDWj_N8eYeYuq9eRyzI6m-uhPu-dMsNtuoAzAzmY7qvDewZg4hgjn9kXNpQvLR1D4rsHzUzG8Jc8fFxQ-UrgiCy7wFgTdJG3mE-H8d09_RQcJ_Ji4ucu2Z74iDhzkfpEn6-WDQuxIDeGleVsx', 'width': 1836}]",ChIJXak_5ha1Ki4Rj3fUhDy2Yzw,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",221.0
