formatted_address,geometry,name,place_id,rating,types,user_ratings_total,photos
"X2RQ+XXV SMA Negeri 2, Moanemani/ Ikebo, Kec. Kamu, Kabupaten Dogiyai, Papua, Indonesia","{'location': {'lat': -4.0075023, 'lng': 136.0399139}, 'viewport': {'northeast': {'lat': -4.006171320107278, 'lng': 136.0412785298927}, 'southwest': {'lat': -4.008870979892722, 'lng': 136.0385788701072}}}",Ini rumah Luis,ChIJZUDgGD2RIWgRMOYnxFVE7uw,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"X2VJ+QJH, Unnamed Road, Moanemani/ Ikebo, Kamu, Dogiyai Regency, Papua 98862, Indonesia","{'location': {'lat': -4.0055651, 'lng': 136.0316098}, 'viewport': {'northeast': {'lat': -4.00466295, 'lng': 136.0328498798927}, 'southwest': {'lat': -4.00827155, 'lng': 136.0301502201073}}}",Gunung Tetode,ChIJ8_OU1HCRIWgRHc27YnQbFc4,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,
"35CP+QP, Yametadi, Kamu Utara, Dogiyai Regency, Papua, Indonesia","{'location': {'lat': -3.9280216, 'lng': 136.1868329}, 'viewport': {'northeast': {'lat': -3.926671770107278, 'lng': 136.1881827298927}, 'southwest': {'lat': -3.929371429892722, 'lng': 136.1854830701072}}}",Edegepo,ChIJz9FSKQCLIWgRuRMqvKKO0-s,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"X675+FP3, Gakokebo, Tigi Barat, Deiyai Regency, Papua 98764, Indonesia","{'location': {'lat': -4.03636, 'lng': 136.2093058}, 'viewport': {'northeast': {'lat': -4.035070870107278, 'lng': 136.2106756798927}, 'southwest': {'lat': -4.037770529892722, 'lng': 136.2079760201073}}}",Tanjung Momaikago,ChIJmZ52sXUpImgRk5vhpIrNQNY,4.8,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,"[{'height': 573, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100604919450787088458"">A Google User</a>'], 'photo_reference': 'AUGGfZmMcXoUPLM45Hm68ONSn06VBi2aiA_QgRZL7YPHgguJHVEulwZmmPakRJ2UKjhFBPCzVaVDMHnOSWa7qHWdK1Fv5CM5ILSLBsT6YxDyvcebh06v7x9exPMVnKI4D-GAOc2xoPNNzgxfG51iPlvJRNWXgfRIvbjI8mx3tK-pTWvOUDBX', 'width': 860}]"
"376H+8PW, Unnamed Road, Epou / Epobutu, Paniai Barat, Paniai Regency, Papua 98764, Indonesia","{'location': {'lat': -3.93913, 'lng': 136.279331}, 'viewport': {'northeast': {'lat': -3.937424570107278, 'lng': 136.2828719}, 'southwest': {'lat': -3.940124229892722, 'lng': 136.2781507}}}",Wadoumide Deiyai,ChIJ2378DLIhImgRSzDKZtro_aE,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",3.0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104753976352545924090"">Kristianus Ukago</a>'], 'photo_reference': 'AUGGfZluN7t2IMzL985dm4S9uSdQ41CIfZHsY71SRFxD6vPK2_KOKqG4WDVXVrrJTEhjmpvvt4umY-WcjSCRnXCYqEtSfXmPuYFU_STkoJiHu5ikTtr0i3MgjzUlypzqsdISZzdu9FG27o4kbY5RD3FJ6G6TPrBLNdLQt7v41d-zMlPTfj-W', 'width': 4032}]"
"W7FQ+4WH, Yaba, Tigi, Deiyai Regency, Papua 98727, Indonesia","{'location': {'lat': -4.0771948, 'lng': 136.2898671}, 'viewport': {'northeast': {'lat': -4.076027320107277, 'lng': 136.2913846}, 'southwest': {'lat': -4.07872697989272, 'lng': 136.2853146}}}",Tempat Rekreasi Butuboya,ChIJN1o2tOMvImgROv-4W2SnOXY,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1.0,
"RCPP+XCF, Kopai II, Bowobado, Deiyai Regency, Papua, Indonesia","{'location': {'lat': -4.1625625, 'lng': 136.4360625}, 'viewport': {'northeast': {'lat': -4.161212670107278, 'lng': 136.4374123298927}, 'southwest': {'lat': -4.163912329892722, 'lng': 136.4347126701073}}}",Meno Waina,ChIJdYpLuPbNI2gR3Baf3fYCDMA,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,
"3875+PG, Epouto, Yatamo, Paniai Regency, Papua, Indonesia","{'location': {'lat': -3.935641, 'lng': 136.308836}, 'viewport': {'northeast': {'lat': -3.934437770107278, 'lng': 136.3101623298927}, 'southwest': {'lat': -3.937137429892722, 'lng': 136.3074626701073}}}",Dimiya Danau Paniai,ChIJNXjJFAAjImgRmjsF3jL--CE,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115035439138382487447"">A Google User</a>'], 'photo_reference': 'AUGGfZlYQq-uIPgRXcXoXuMISVw5NY7pC1IDxAJvSEptvqQkVcAF2TZSfu5dPUDpZAiq7WRpAH_1TMQsUiWpt5wao4uV2GlaNumTKvUhwWh-iGGHwlv6i2VwdvYKQfGogGRoWApnAUhOvyevtOoNiSIfh_6yL6OfPpZBx1MYyDtq3KBkBjq-', 'width': 960}]"
"39GC+C4R, Enarotali, Kogekotu, Paniai Regency, Papua 98726, Indonesia","{'location': {'lat': -3.923886, 'lng': 136.3702558}, 'viewport': {'northeast': {'lat': -3.922714120107277, 'lng': 136.3734448}, 'southwest': {'lat': -3.925413779892721, 'lng': 136.3691928}}}",Bobaigo,ChIJvU_Dj_49ImgRsEhda9eiwYY,4.0,"['tourist_attraction', 'point_of_interest', 'establishment']",6.0,"[{'height': 2398, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102401185008739626130"">Andri Wirawan</a>'], 'photo_reference': 'AUGGfZnoMm8Sq6jA8YJJUO_1FB0Ll4trrap37L_yBorf865UqOTv8Rhm2jiM56mZr2vPatBsO7vI-ILlNRYeq8aV6PQJGFEKYMBTftS7ETeiyddz-B_Mlwh-eOjgcOIr_-vq2cYGbdhwbvEcXvO3lArOwvl9BxDZUGQfN_DcXrKbYPSvPah8', 'width': 3525}]"
"Centenary Park, cnr Park Road &, Leopold Takawira Ave, Bulawayo, Zimbabwe","{'location': {'lat': -20.1557657, 'lng': 28.5965153}, 'viewport': {'northeast': {'lat': -20.15461227010728, 'lng': 28.59812452989272}, 'southwest': {'lat': -20.15731192989272, 'lng': 28.59542487010727}}}",Natural History Museum of Zimbabwe,ChIJ26d6bmxUtR4RSOFNVoFRB_I,4.3,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",406.0,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116287656222056339120"">Elton Bwanya</a>'], 'photo_reference': 'AUGGfZlFCOqAltwVGWnYTgSFcjTlE0TF8yVdxMwQ-5zLcdLZE9PQs_PijUn3md-1rMElLCKi10l6CrBNnodZgltaB5pgF4IdgXWdmFobVOBHWOLm_qpUz-l5Ub4dowj9hM5sJevwt3_2Gdz6uPGWzSXq5CnR6bbg8JKoqucI8Nadc_GJpFQE', 'width': 3096}]"
