formatted_address,geometry,name,photos,place_id,rating,types,user_ratings_total
"Jl. Bukit Lawang Hill Resort No.2, Bukit Lawang, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20774, Indonesia","{'location': {'lat': 3.5508889, 'lng': 98.12031130000001}, 'viewport': {'northeast': {'lat': 3.552233929892722, 'lng': 98.12178822989273}, 'southwest': {'lat': 3.549534270107277, 'lng': 98.1190885701073}}}",Bukit Lawang Ecotourism,"[{'height': 480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100438237948684849319"">송재신</a>'], 'photo_reference': 'AUGGfZlD9RJqGwshzCiXbBMyx5IGFRSdcazr2pjRqjE4ODx4i1yvm08zFirceG2Kn3PXt5tzGQ5QNTHmTcn0Q3gwKqmgzHU4WqVXUbUMWOoIQ5xIrvY8XBqRy5Z30ch5ilfk6rQlBKnktH2iY8qF2i-18iV6m_Y00EL-6J4tmkjEJOD-k2gK', 'width': 720}]",ChIJT1Mah_q3MDARzAbJj9QAqlU,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",247.0
"Dusun Batu katak, Batu Jong Jong, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20774, Indonesia","{'location': {'lat': 3.445153, 'lng': 98.1487642}, 'viewport': {'northeast': {'lat': 3.446502829892722, 'lng': 98.15011402989273}, 'southwest': {'lat': 3.443803170107278, 'lng': 98.14741437010728}}}",Frog Rock Tour,"[{'height': 673, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108309432124874039107"">A Google User</a>'], 'photo_reference': 'AUGGfZnf8U-RKs91ZO49oR8LaTe7XiPiKoJT8WXtMcnQsNpxir6v4Cgpm-C1Jg7S3PpbHopAb5ABCUetQK8a9k8-LVMxlZ9Bl2NzaK-ES6fSDvkUQAN98mFz9mHKM5DnFnJVvknzYsOKHPSKozNj9wSR2xWg9cKqSG0_4ZlFGkUADkHWVO2f', 'width': 1200}]",ChIJZVDb35XAMDAR-oGPQSaIHrg,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",217.0
"H42F+6XC, Jl. Orangutan, Bukit Lawang, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20852, Indonesia","{'location': {'lat': 3.5498268, 'lng': 98.1244218}, 'viewport': {'northeast': {'lat': 3.551324379892722, 'lng': 98.12581352989272}, 'southwest': {'lat': 3.548624720107278, 'lng': 98.12311387010728}}}",Wisata Alam Bukit Lawang,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100395506613103929847"">A Google User</a>'], 'photo_reference': 'AUGGfZmBTGDmFeSpJBIjM7vTlMu4akFuVwwooUYTJfUpudI39X9F0MQz9ERELZkq3HcUooGLbeyi9IqtxjZZZlUpjL3uGsmpsd0CXb8sbfQt4ouDpBwiLtyrnRdnB8b0twEAAgW63JE6c1-mq92ZMeyATO_DOAX76uBsLFqg5vC2e7UcdxGw', 'width': 3840}]",ChIJgclTZQDJMDARozqCEx8qwCk,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",991.0
"G4WG+FP4, Bukit Lawang, Bohorok, Langkat Regency, North Sumatra 20852, Indonesia","{'location': {'lat': 3.5462033, 'lng': 98.1267416}, 'viewport': {'northeast': {'lat': 3.547460529892722, 'lng': 98.12803412989273}, 'southwest': {'lat': 3.544760870107277, 'lng': 98.12533447010728}}}",Rindu alam bukit lawang,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100785655951733853459"">rian anda</a>'], 'photo_reference': 'AUGGfZkrOKLCfYR3Se0XgU6EhMlBOjMcL-nMUn2VpmeM5lr9moQnaGyTNXCXlAfjrdqUh_9IRpyam3N_Mg5IaXLtod3WxmP01TdGou3qYhKRZvbr1p5Y_9fnWUL4nf4tbidrwg8Ajc7bZJchbyjLU2pZ0_IW0-woDnXbsaa5XNfMD1Csj52Y', 'width': 3024}]",ChIJn2b618XJMDAR7pNeig8SVJk,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0
"Batu Katak, Kec, Jl. Utama, Lau Damak, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20774, Indonesia","{'location': {'lat': 3.4460233, 'lng': 98.1484236}, 'viewport': {'northeast': {'lat': 3.447373129892723, 'lng': 98.14977342989272}, 'southwest': {'lat': 3.444673470107278, 'lng': 98.14707377010728}}}",Wisata Batu Katak,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107786389414795925026"">A Google User</a>'], 'photo_reference': 'AUGGfZmy1KvVxF-Fy59EoaRLK4rR1qPe8tEbcJBYlcBhtVONP_q73OnMYsn5ASq8mScbt0f2kTdzWIcLCv0tEWtrbR7mieMmVZIxdJ1LmDBdQMq0zvFAXP2-PFIjiRgVlX78Wi9MS38mlSer203EG-eyo5ShM_uGguZWM_hw-YI86W2tinYm', 'width': 1920}]",ChIJi6DMGaTPMDARkSUFDfQE1ZU,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",349.0
"G4WH+26M, Bukit Lawang, Bohorok, Langkat Regency, North Sumatra 20852, Indonesia","{'location': {'lat': 3.5451272, 'lng': 98.1280841}, 'viewport': {'northeast': {'lat': 3.546648229892722, 'lng': 98.12957757989274}, 'southwest': {'lat': 3.543948570107278, 'lng': 98.12687792010729}}}",Landak River,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106636657193078667007"">Taras Nadtoka</a>'], 'photo_reference': 'AUGGfZkSe8TMKpktVRH-VZmGW3SLvl74pXDBSxFKPLzUGcQgztcbJb0f4Ur1Kju4JXV_g59gIEn1XIXU7rYqD8w5Nok_j83_OeVCvxu6Jkzs_J0WLWkokX9XXJzap_UMRN_XlRzLpXZXE8W3g2aMOVqI_6xoEUbTIvpvymgiv6w4EQ9B2OEg', 'width': 4608}]",ChIJAQAAABDIMDARRQ8ErpNqyFo,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",387.0
"G4VM+3J2, Sampe Raya, Bohorok, Langkat Regency, North Sumatra 20852, Indonesia","{'location': {'lat': 3.5426305, 'lng': 98.13402479999999}, 'viewport': {'northeast': {'lat': 3.543980529892722, 'lng': 98.13540782989273}, 'southwest': {'lat': 3.541280870107278, 'lng': 98.13270817010728}}}",Bukit Lawang Orangutan Trekking,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112130947111516981993"">daffa rakhsa</a>'], 'photo_reference': 'AUGGfZl9HbE8EEuVzjLl729BKHFgZKyk4AAXT66qsWhXWIEEVBFwzwQvCB0OEgJ9ZQick640mX5TcGBjVxXf3sZOSSD6T2ki-C7hbxpQp30De4KlM7oxb74OTE_RDPuGD0pKG9rUNpdRzH7eaTjcVjVLX-uMy6cYTYLlQf7o5a7fhA__uiId', 'width': 2048}]",ChIJ_z9xvk7HMDARULNHhtiXS64,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",220.0
"Jl. Bukit Lawang, Timbang Lawan, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20774, Indonesia","{'location': {'lat': 3.512977, 'lng': 98.1528841}, 'viewport': {'northeast': {'lat': 3.514256479892722, 'lng': 98.15420542989271}, 'southwest': {'lat': 3.511556820107278, 'lng': 98.15150577010728}}}",Banana Island Bahorok Kab Langkat,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114685437152197383471"">A Google User</a>'], 'photo_reference': 'AUGGfZnLPzwnGN814UCI-i-ls93ZkFYMVuJoENXozcQTmODRsE13dhBFZ_OTJch3UdSllLHLZSUnfrKy3Y8hMt9lgrFxo2pD6_Mxd5lt0FnbwlySMP86qJassEnSV-GQFCvEkUre6IVJpTpraMBnMX2NBKingHk43Kgig0GUm1XlS53BNyI7', 'width': 3000}]",ChIJq9UZAf_HMDAR8wl99l4oz0s,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",51.0
"G4HF+WQX, Timbang Lawan, Bohorok, Langkat Regency, North Sumatra, Indonesia","{'location': {'lat': 3.5298654, 'lng': 98.1244983}, 'viewport': {'northeast': {'lat': 3.531215229892723, 'lng': 98.12584812989273}, 'southwest': {'lat': 3.528515570107278, 'lng': 98.12314847010728}}}","Lubuk Samsah, Sungai Landak, Bohorok","[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107405381712207645844"">azmi ridwan fauzi</a>'], 'photo_reference': 'AUGGfZn1znVSvVEUGiGXUUlcVyAYxD9fAtJ8JEWXInnZOZQzNuaZH4ibyeHRZOoMtinOavyYod1W4DiCjkgFmIVad3wxhiIgebNlwr-EtJKupjQkSxYQFRT8DprGTbx7tX6E6JEFxVtDrEnMLiOuqzGJl-rt1GfbiXmlbWkEx4LDfgfHuabQ', 'width': 4624}]",ChIJv_E_fdovMTARcWiRb4szKBI,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0
"H42F+38, Bukit Lawang, Bohorok, Langkat Regency, North Sumatra 20852, Indonesia","{'location': {'lat': 3.5501938, 'lng': 98.12335159999999}, 'viewport': {'northeast': {'lat': 3.551618929892722, 'lng': 98.1247113798927}, 'southwest': {'lat': 3.548919270107278, 'lng': 98.12201172010727}}}",BL,,ChIJe7PbGsG3MDARMRXzKwAmtv0,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
