formatted_address,geometry,name,place_id,rating,types,user_ratings_total,photos
"Jl. Prof. Dr. Buya Hamka No.13, Margadana, Kec. Margadana, Kota Tegal, Jawa Tengah 52143, Indonesia","{'location': {'lat': -6.879755899999999, 'lng': 109.1024499}, 'viewport': {'northeast': {'lat': -6.878324520107277, 'lng': 109.1038110298927}, 'southwest': {'lat': -6.881024179892721, 'lng': 109.1011113701073}}}",Istana ikan hias,ChIJk2ThYuO5by4RW0RcHOyfWgw,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",5,
"43MW+GC4, Margadana, Tegal City, Central Java, Indonesia","{'location': {'lat': -6.8662375, 'lng': 109.0960781}, 'viewport': {'northeast': {'lat': -6.864875970107278, 'lng': 109.0968707798927}, 'southwest': {'lat': -6.867575629892722, 'lng': 109.0941711201073}}}",Spot jaer,ChIJ2VidS2W3by4RnhNWT9Cyhs8,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106464583162662863387"">Akhmad fauzy</a>'], 'photo_reference': 'AUGGfZnWAyVJ9tX-41bl9Z-hZfeVJjHUaIdomrba1T9XMOX764bwazUW4IK8hByOQveV_Z-iZKTJxZCkSEqr34Fowsk-6RXc56HKE_Uo-XBQO5SPXz9LHywpPe6LY9TiQbUYljy5XVmygXymKEHASQYscWDWBz5HT2VNsuUlCuGtlaLPzwiZ', 'width': 4000}]"
"44F4+6RQ, Jl. Ponorogo, Sumurpanggang, Kec. Margadana, Kota Tegal, Jawa Tengah 52141, Indonesia","{'location': {'lat': -6.879219699999999, 'lng': 109.107369}, 'viewport': {'northeast': {'lat': -6.877874820107278, 'lng': 109.1086990798927}, 'southwest': {'lat': -6.880574479892722, 'lng': 109.1059994201073}}}",Tempat gubak,ChIJ6cSbl2C5by4Rbx4JRFlPjMg,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,
"Gubuk Temu, Kaligangsa, Kec. Margadana, Kota Tegal, Jawa Tengah 52147, Indonesia","{'location': {'lat': -6.8745648, 'lng': 109.0813374}, 'viewport': {'northeast': {'lat': -6.873218520107278, 'lng': 109.0827700798927}, 'southwest': {'lat': -6.875918179892722, 'lng': 109.0800704201073}}}",Pemancingan Nila ku,ChIJKwYabTy_by4RziLZ8ZqfBVw,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108520334577954468225"">gie suwondo</a>'], 'photo_reference': 'AUGGfZnODlHOMv1iWfv5u5wLt5rkvXK0XPEXbUsdfD8wacNb2Vw5tQD5IqhjT27ncMyudjDh_5SnzVaJ81KfPUxWdCTHH9xHxEUcl1vKroMjZIkinDnOgBUlTWuSl8nXidwKW1M723HKcQHvIC_fS1Kn6CWgbUU1ni8BqONwPcs6BygCeMz5', 'width': 1920}]"
"43FR+RW2, Cabawan, Margadana, Tegal City, Central Java 52147, Indonesia","{'location': {'lat': -6.8748498, 'lng': 109.0929854}, 'viewport': {'northeast': {'lat': -6.8741559, 'lng': 109.0944590298927}, 'southwest': {'lat': -6.8769315, 'lng': 109.0917593701073}}}",Sawah nya amelia,ChIJr2bN1Di5by4RZ_JiqKQVMUg,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0,
"Jl. P. Diponegoro No.2, Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52125, Indonesia","{'location': {'lat': -6.8667411, 'lng': 109.1365193}, 'viewport': {'northeast': {'lat': -6.865413220107278, 'lng': 109.1378432298927}, 'southwest': {'lat': -6.868112879892721, 'lng': 109.1351435701073}}}",City Walk Kota Tegal,ChIJMSW_IB23by4R7ltxqTkAneo,4.3,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"[{'height': 2600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108636647409656545751"">deny zaniar noor</a>'], 'photo_reference': 'AUGGfZmuyxZx-qKUs40LOO05IkubC2QyBVtZkIbsN-2ZrpcY1_FLf-2YZjQfFpEynxNRL0NZHDa80GMQE5rlTlMu0Kyrapj5rmOnUEW0yRGxkKqb21MJ30GdCiEO1qUBj3gvy5LjLo4yc5WS7CxJWe5fiSnI6Dbys7FXUmpX2Qj2xgj-5zBg', 'width': 4624}]"
"533W+74W, Unnamed Road, Muarareja, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52219, Indonesia","{'location': {'lat': -6.8467598, 'lng': 109.0953397}, 'viewport': {'northeast': {'lat': -6.845434170107278, 'lng': 109.0968693298927}, 'southwest': {'lat': -6.848133829892721, 'lng': 109.0941696701073}}}",DESA WISATA KAJONGAN KOTA TEGAL,ChIJX-pB8ve3by4R4Ua2gLInTUY,4.9,"['tourist_attraction', 'point_of_interest', 'establishment']",87,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109063574289491039646"">A Google User</a>'], 'photo_reference': 'AUGGfZmU5B_xwYWmj6lZAZjPF8W04B2lNwQMrG3mIbPC1bMwswgz4EWQcnD0GW2zHSLpA7E1PMduOFmOHaJuwYN2Jk1qT3St4shkVzLcSWQCcZBkICVmCT_n5PY5mOWB_AOiQN-_3OKRyidw02UPZc9NpXHh3q0qa6JuFMrGAXJQ68W4UsKP', 'width': 3024}]"
"44V3+HFF, Inpres, Muarareja, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52117, Indonesia","{'location': {'lat': -6.8560515, 'lng': 109.1036591}, 'viewport': {'northeast': {'lat': -6.854699470107278, 'lng': 109.1050573798927}, 'southwest': {'lat': -6.857399129892721, 'lng': 109.1023577201073}}}",PEMANCINGAN XKEMIRI,ChIJxUUUurO3by4R3gM4QUAVUyU,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",23,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111160944371798366679"">Sibolang Petualang</a>'], 'photo_reference': 'AUGGfZkBclgkr5-RTnygitaJrcA9pNH89-w4_9XTAFPrfbGiYFVvOjj3u-itZCJa28dnRMLabboYt9Ghy2stz9qYX1M8FUnYslreBxNDzcOCrby3Qx3J2-OTfVxcbP2bDYlb48Am1jzvrTMHVInGCTnKJ-v_gYDpJU7KsyuAGv_tXHV9LDNQ', 'width': 3000}]"
"44VQ+H39, Jl. Pemuda, Tegalsari, Kec. Tegal Bar., Kota Tegal, Jawa Tengah 52111, Indonesia","{'location': {'lat': -6.856092100000001, 'lng': 109.1377881}, 'viewport': {'northeast': {'lat': -6.854745770107278, 'lng': 109.1391623298927}, 'southwest': {'lat': -6.857445429892722, 'lng': 109.1364626701073}}}",Balaikota Lama,ChIJoxvHq7S3by4RCzz6VYBWZ_s,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",48,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100823732677129162780"">khumayroh may</a>'], 'photo_reference': 'AUGGfZm3A60wUVn3UX30Urqm-DARkp7G7ysr0fqLbhYA04ciGxnGLtr5i7eENjWy_HOqw0lbmgrkk3a2v1uh0_GNWWthnSKj5mS2oeK53V0Y5726f4tQlhqa6vIDvhy2LiuXUbGUndzHdDo5Io07n1UsbaRdHUA4YuT4U9Di7h806N3uQ6FK', 'width': 4032}]"
"437H+68V, Kaligangsa, Margadana, Kaligangsa, Tegal, Kota Tegal, Jawa Tengah 52147, Indonesia","{'location': {'lat': -6.8868771, 'lng': 109.0782855}, 'viewport': {'northeast': {'lat': -6.885529220107279, 'lng': 109.0796728298927}, 'southwest': {'lat': -6.888228879892723, 'lng': 109.0769731701073}}}",Polder Bayeman,ChIJ6VgYHxe6by4RrYXNulvz0KA,4.3,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",651,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108917904568704661292"">Nazar kimochi</a>'], 'photo_reference': 'AUGGfZnYPeK5aWZr9R7lf3HLaJzZsqOK2MieLRvHTrauUeJUD8BD8V95dKnGihMoaEnM1t6fWIcCZCGN4DnIMwoti6b56sWhDpwFa7ry5luvJZGhxT9LZhr0-KNzAI_TZO_hZ-26uWHZVXGUvZYjuw54_wf8n3t_EVo4BxVjG6PPgIgDJDpm', 'width': 4608}]"
