formatted_address,geometry,name,place_id,types,photos,rating,user_ratings_total
"7XX6+FJQ, Wuyukwi, Mulia, Puncak Jaya Regency, Papua 98973, Indonesia","{'location': {'lat': -3.7012975, 'lng': 137.9616037}, 'viewport': {'northeast': {'lat': -3.699943670107278, 'lng': 137.9629428798928}, 'southwest': {'lat': -3.702643329892722, 'lng': 137.9602432201073}}}",Tugu Salib bandara,ChIJB5BEuqLXF2gRTRjal70ZKJA,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 473, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101133400787634982265"">Alex Pinibo</a>'], 'photo_reference': 'AUGGfZk7sHxVtz-O_3iOjFN31E-NGAstRXQx8E1Yo5iSQYrOw2i0AETODoFZnLmXKwPwKLpIEo2gR_rJ1j502yDxbbXTOkhs_j2V9cjv9RpMp1ALnZVNgCZB3pznKC6Cr8Wj8jx5rBi-XPOF8paoHAJfg0bV9rabsrO2YKCWQfIex3Dc64WP', 'width': 684}]",5.0,1.0
"X465+G46, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.0387078, 'lng': 137.1077783}, 'viewport': {'northeast': {'lat': -4.037270320107279, 'lng': 137.1090314298927}, 'southwest': {'lat': -4.039969979892723, 'lng': 137.1063317701073}}}",Museum Tambang PT Freeport Indonesia,ChIJIaAnBz3oImgR131oHm8p0-o,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110934582936818970853"">Marchellinus Demas</a>'], 'photo_reference': 'AUGGfZnlwNJrY5675HdwqwYY_93Zf0MWjeaPYXoVBcou9qcaXIRtsGJk4apUieUtHBSjJOV7BmFkDpaWe4LtKh5HgXmVjv6DLdBt_dod1h_0Yd62g9-SLboWiScmJP3N06gjOjzxsTviukCkvbX8IuJtoRkF2O_XllXZBRA2JWF6REXodgfi', 'width': 4032}]",4.6,218.0
"65JM+3XG, Misimaga, Gome, Puncak Regency, Papua 98971, Indonesia","{'location': {'lat': -3.7698162, 'lng': 137.1849668}, 'viewport': {'northeast': {'lat': -3.768466370107278, 'lng': 137.1863166298927}, 'southwest': {'lat': -3.771166029892722, 'lng': 137.1836169701073}}}",Iabong,ChIJxXIomA2hImgRnEn2r41hwPk,"['tourist_attraction', 'point_of_interest', 'establishment']",,0.0,0.0
"Karang Senang, Kuala Kencana, Mimika Regency, Papua 99910, Indonesia","{'location': {'lat': -4.4755482, 'lng': 136.852084}, 'viewport': {'northeast': {'lat': -4.474192770107278, 'lng': 136.8533154798927}, 'southwest': {'lat': -4.476892429892722, 'lng': 136.8506158201073}}}",Wisata Agro Minalestari,ChIJ6xXzPDV1I2gRfGf5Kzq7wUk,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111859609006643479309"">A Google User</a>'], 'photo_reference': 'AUGGfZlUZJG5ddUoMcs7pxySHUFY5cY9nyQF6mJxjynTsq5xV4Q1GiHlj9ahSUZ4GYlbUOmETIcF1XeVdj1tEY7KvYAiz3IpNIcXvq5v2dl2xjUV241YmwuZML17SvUXq2udN5s1ydtGVYxfuZRkckDIWOOfU0fT5Qpr5q3kqpitzI48hie7', 'width': 3000}]",4.3,31.0
"W5P2+HCJ, Tembagapura, Arwandop, Tembagapura, Kec. Tembagapura, Kabupaten Mimika, Papua 98972, Indonesia","{'location': {'lat': -4.0635325, 'lng': 137.1510304}, 'viewport': {'northeast': {'lat': -4.062182670107278, 'lng': 137.1523802298927}, 'southwest': {'lat': -4.064882329892723, 'lng': 137.1496805701073}}}",Danau 2 Grasberg,ChIJmUS645PCImgRr8P_M5vz3Xk,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101551746360350933239"">Kades Asmat</a>'], 'photo_reference': 'AUGGfZnl-Cd1qCVY7FDlzna3axgQ2KxEM-FELe6hT1EZJFZTETsyRaHrKC1ZPet0HfW2B3yG_AtDj8Dm47bqi_Q6Fe8ZV9J-SHns3MnKOPT5JZ6VtqfYzWlP420juXAq_8sKb8pU-4P_8mZ9hOIwSbDCGb7BIK5dBKHNYy9RTlgHNCsq2ELc', 'width': 2048}]",5.0,3.0
"W4QQ+QVR, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.0605223, 'lng': 137.1396407}, 'viewport': {'northeast': {'lat': -4.059172470107279, 'lng': 137.1409905298927}, 'southwest': {'lat': -4.061872129892723, 'lng': 137.1382908701073}}}",Zebra Wall Grasberg,ChIJey_ewZzCImgRAJSPJc9gn0U,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106304515768482184164"">Edwit Surachmat</a>'], 'photo_reference': 'AUGGfZk5_JMPIy07w1YlNVRt1mZ3JtcG4sdvS5gimS1qI5EfHv4jveeVi2k-hcqDVp3AVay5RwwAlq86YoF72j_kdq20bM8si_Mo66-H1FOeyw2sK-ukuRx0ggOFM7RE-0TjltNpl1F_DXrqWr7hdC2_k1jfCddNEme5oOohQMLBkupeqQwD', 'width': 4032}]",3.0,2.0
"W5H8+HMH, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.071062299999999, 'lng': 137.1667265}, 'viewport': {'northeast': {'lat': -4.069712470107278, 'lng': 137.1680763298927}, 'southwest': {'lat': -4.072412129892722, 'lng': 137.1653766701073}}}",Carstensz Pyramid Base Camp,ChIJIVEyRd3CImgRsroUHGmpYu8,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']","[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103590658125631917614"">Katan Lee</a>'], 'photo_reference': 'AUGGfZkbjDnme9xOLgAUst22qAzJIA2w6uidmLpt4WHxCxVB2qmjAKlT5tjgl3vG-LkfzVMV_HplfvK7T7IL8G0x1N0ShGJLvKbHKJxGrPa3uyo6oymwZHN8yvh0B6x2uhBg0LKmcsUPjV5V0qLUnZjVkVgsp56__qwbzINkzKx7bxwHOnV3', 'width': 1152}]",4.5,31.0
"Jl. Trans Nabire, Utikini Baru, Kec. Kuala Kencana, Kabupaten Mimika, Papua 99910, Indonesia","{'location': {'lat': -4.4503312, 'lng': 136.8363792}, 'viewport': {'northeast': {'lat': -4.448672670107278, 'lng': 136.8377276798927}, 'southwest': {'lat': -4.451372329892722, 'lng': 136.8350280201072}}}",Wisata Baliem Waga Waga,ChIJCe9NhX51I2gRZKMuCbXpDDc,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 3088, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113356247567135833497"">Maya Rumpaisum</a>'], 'photo_reference': 'AUGGfZn0gOxmydeka4m-OfmvF6Dc5_D_KjuD3SWIV4RhERWRu6-fMKeqYkSF_SWX7ydQw_iqpwj0jT6R_LniD1iF9tXzQf2XxZ78fGYJ4O5xmGHvN8-6H7rqGn9efRgE0u7u-NvtzlFZKwOvXD9ANNswjEzPpYQLaHA1RbcngQ0FfuirQslU', 'width': 3088}]",4.6,23.0
"W5P3+GJG, Arwandop, Tembagapura, Mimika Regency, Papua 98972, Indonesia","{'location': {'lat': -4.0636937, 'lng': 137.154079}, 'viewport': {'northeast': {'lat': -4.062343870107278, 'lng': 137.1554288298927}, 'southwest': {'lat': -4.065043529892722, 'lng': 137.1527291701072}}}",Danau 3 Grasberg,ChIJp5TLbpPCImgRV92sAb0mSrk,"['tourist_attraction', 'point_of_interest', 'establishment']","[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103465198371003958017"">Petrus Permana</a>'], 'photo_reference': 'AUGGfZlo_2kKmITkQV5KfvxCCa5zLIMr7UTDNLSaXlIeIROt5oWDGDBI65_2X7h1XjpksjKx5w5yD7jAzeHqx__cUc01-MdKrTuQbxvsaTXSKcDAM1uXMjGPK32nSm1ulV-YTwBxw7ng_ixZjofHO8sWhrO1TWX98vsSxBahHuIs2F4a8-tv', 'width': 1080}]",5.0,3.0
"2JGR+W6W, Kimak, Ilaga, Puncak Regency, Papua 98972, Indonesia","{'location': {'lat': -3.9725979, 'lng': 137.6405398}, 'viewport': {'northeast': {'lat': -3.971213170107278, 'lng': 137.6418555798927}, 'southwest': {'lat': -3.973912829892722, 'lng': 137.6391559201072}}}",ISTANA KUNING,ChIJHRVuTiFHPWgRCfkI7EWOGgE,"['lodging', 'point_of_interest', 'establishment']","[{'height': 2076, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101112721042934361799"">Fred Yanggo</a>'], 'photo_reference': 'AUGGfZmaWh_1CRdy2Q4EVSEB3k1OOLhDhM1-yIIJXrXuu5-H4a2ZSYpTG2VCUjnDd4545RvVd_5yM12UDBjATC6xPoFHAa_Rz_IBRsWQatTNXnDD3A-xTU1aCaNB6IkXXzgZvfT8Bl-SHQJKJIPWQM3tseu77lrpK7O3BSaE8zF7-H9xaC7v', 'width': 4608}]",3.0,1.0
