formatted_address,geometry,name,photos,place_id,rating,types,user_ratings_total
"MFJG+XFR, Kecandran, Sidomukti, Salatiga City, Central Java 50716, Indonesia","{'location': {'lat': -7.317523899999999, 'lng': 110.4761362}, 'viewport': {'northeast': {'lat': -7.316144420107279, 'lng': 110.4774912298927}, 'southwest': {'lat': -7.318844079892723, 'lng': 110.4747915701073}}}",jalan paling enak buat nyore,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106468358758604166193"">bayu dagadu</a>'], 'photo_reference': 'AUGGfZkGHJkYxJWCFHVn-Va3DAa-xYyTN87kVRU4_h24c6KTvw_DWdFN8BNaOMRF3-4uG7cT1H5Odokfuk6brFxJ2JKfIaYEsWADGCu9jTCtCcS3pRz1Lbs24dovqeUJgzYL-QFHfyLPfpJWDKmHJSsug6Cfjf-K6PX1eHfCQaQyk8Nnfntr', 'width': 3024}]",ChIJJYgPbc95ei4R9s_xw9AWwFY,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0
"Jl. Pemotongan No.12, Kalicacing, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724, Indonesia","{'location': {'lat': -7.3295174, 'lng': 110.5037502}, 'viewport': {'northeast': {'lat': -7.328153420107276, 'lng': 110.5051018298927}, 'southwest': {'lat': -7.33085307989272, 'lng': 110.5024021701073}}}",Tiang Listrik Salatiga,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110731159273838479538"">A Google User</a>'], 'photo_reference': 'AUGGfZm5o_ExEmSr2TvQcMrWzeQoHSBjG506afGfdHv3C9jmYBbXoh2X_uBD5wBnuY1pZzwjYxpM1Pbt2FAiQ7uYrYbAM0LZ9KcYioq3aLu6YbIHfiAwx60y4viK8NS_vQRWHLGH1yzRvvIurFyzzTeQxJHi_6yujX1JLjxZ_hXTkoGCLmmO', 'width': 2322}]",ChIJK1qcBgB5ei4RSu68Yf1rP0k,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",7.0
"kali salatip kemiri, Kutowinangun Kidul, Kec. Tingkir, Kota Salatiga, Jawa Tengah, Indonesia","{'location': {'lat': -7.330523400000001, 'lng': 110.5084366}, 'viewport': {'northeast': {'lat': -7.329224670107279, 'lng': 110.5097717798927}, 'southwest': {'lat': -7.331924329892723, 'lng': 110.5070721201073}}}",spot mancing,,ChIJt-2QJwB5ei4RhJ9EQI8zy84,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"Jl. Sukowati No.13, Kalicacing, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724, Indonesia","{'location': {'lat': -7.331695099999999, 'lng': 110.5043138}, 'viewport': {'northeast': {'lat': -7.330268020107277, 'lng': 110.5056681798927}, 'southwest': {'lat': -7.332967679892721, 'lng': 110.5029685201073}}}",Kelenteng Hok Tek Bio,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117702276446590470321"">Tofik Nuryanto</a>'], 'photo_reference': 'AUGGfZmPiFq_pch6J79BCf2xlJyVYgUi2qxIPDh9pR5mzQ_4tgMcUgoyh0yNGdL8obQyoLGqKEtsYat8Oktv7XrTemYPYTHV37_z_wIDJM-xq3yjw7R4iDK-PqyQVpqe4ifv2jxe0ypA9rHQWqG9XYlgqSFcZddlLK0DHirn3XeT1xocREpa', 'width': 4608}]",ChIJIzMFNzF4ei4R6oDUvRviQ6w,4.7,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",157.0
"Jl. Lap. Pancasila, Kalicacing, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724, Indonesia","{'location': {'lat': -7.330319599999999, 'lng': 110.4995896}, 'viewport': {'northeast': {'lat': -7.329241620107277, 'lng': 110.5008691798927}, 'southwest': {'lat': -7.331941279892721, 'lng': 110.4981695201073}}}",Pancasila City Park,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103240856290035101548"">Danar Wati</a>'], 'photo_reference': 'AUGGfZmI0W8m1N6B9ZCeMDZpsSiq97q-wpjmzwkVaubQzk6QO_iQ-81C15d5tGMsm0x1etCEzlFlcoDc0xhWbvqba_oWMUJwTEI4ZFaBIg4Hs2oJ2Bmdadmu205JRnQhxxKVVWMH3irtDSaXSGRqIIEyM1hjqGeixPw3b7Mz5gqrXJf72r9Z', 'width': 4608}]",ChIJuy8vsTd4ei4RLWutvaE0h-I,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",16146.0
"MG88+W9V, Kutowinangun Kidul, Tingkir, Salatiga City, Central Java 50742, Indonesia","{'location': {'lat': -7.3320822, 'lng': 110.5187328}, 'viewport': {'northeast': {'lat': -7.330754420107279, 'lng': 110.5197068798927}, 'southwest': {'lat': -7.333454079892722, 'lng': 110.5170072201073}}}",Watu Dino(saurus),"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110652624854175377455"">A Google User</a>'], 'photo_reference': 'AUGGfZmILnnayc_sGmPVDaLLxlB1r4pQxQR-uGeSDu57Nr5b-CFX32_bopk9lTt1gcxpVMMuy7QL7dBwKHur_PQ_pCMRdm_zJN3Gvf5Pmr0cu2fH7urAFJ1LQ3wj98m9tZczcYFdodetPt3ZLyF0P1CqMBdTmeKHIDPXZXTrbet0AYdw-0Uq', 'width': 2592}]",ChIJrRyjPLZ5ei4RbGgiYx7di0k,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0
"Jl. Pemuda No.1, Kaloka, Salatiga, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50711, Indonesia","{'location': {'lat': -7.3248302, 'lng': 110.5047818}, 'viewport': {'northeast': {'lat': -7.323489270107276, 'lng': 110.5061874298927}, 'southwest': {'lat': -7.32618892989272, 'lng': 110.5034877701073}}}",Bundaran Salatiga,"[{'height': 738, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100509881871420907588"">Dwi Pristianto Purbo Nugroho</a>'], 'photo_reference': 'AUGGfZlvYeWor1Wy4t1Z__sjUcxlMrcMr9TBQ3MU14CisjeGOiZ-D8vD6DvpKVdHOS2gG3WgCfovmAEiqWkuC2e367F9cLtFb7mHIa4v20kmEyI_tl3ngvwhYsrpKpxQQNZPQGEu2s3ZP56WQEBl6wkbpHinraeHNS1MkH2Tm5Qz4PZDldsh', 'width': 1600}]",ChIJTdf5xTt4ei4RJbkCDWrZ08k,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",987.0
"PF2V+49F, Jl. Dr. O. Notohamidjojo, Blotongan, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50715, Indonesia","{'location': {'lat': -7.299689799999999, 'lng': 110.4934361}, 'viewport': {'northeast': {'lat': -7.298312120107278, 'lng': 110.4947556298927}, 'southwest': {'lat': -7.301011779892722, 'lng': 110.4920559701073}}}",Bukit FTI,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117803234694181660221"">A Google User</a>'], 'photo_reference': 'AUGGfZkJ5I0sRJo_StRgdIsn77arnKqMnTciJdsVihg2-4I6-wkga6mCBepfg7vHUbJ0KscJMcKHw2la-QGKWYNdfOdZluEk7MkQsbJByKqsyA7_xEgf251kmzxGUxZZmHBAoVV-YadSdPyfwnmtlGOnkRvMb1antTwk9ZLPTWTSP5AxU9ir', 'width': 3296}]",ChIJCyvfTBN5ei4Ri0PaGYCwJJE,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",102.0
"MFPJ+JWW, Pulutan, Sidorejo, Salatiga City, Central Java, Indonesia","{'location': {'lat': -7.3133768, 'lng': 110.482316}, 'viewport': {'northeast': {'lat': -7.312042720107277, 'lng': 110.4836711298927}, 'southwest': {'lat': -7.314742379892721, 'lng': 110.4809714701073}}}",Semplungan,,ChIJoW4UbQB5ei4Ry4uYxQmeBA4,0.0,"['tourist_attraction', 'point_of_interest', 'establishment']",0.0
"MGF6+F38, Kutowinangun Kidul, Tingkir, Salatiga City, Central Java 50742, Indonesia","{'location': {'lat': -7.3263363, 'lng': 110.5101892}, 'viewport': {'northeast': {'lat': -7.324973670107277, 'lng': 110.5115364298927}, 'southwest': {'lat': -7.327673329892721, 'lng': 110.5088367701073}}}",Sungai Benoyo Ngentak,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101298918997940699999"">A Google User</a>'], 'photo_reference': 'AUGGfZloQFyOVjQikKGh5y64e2yEPHc8O03CvYUGyZvw82IZd4Myzn_2QsfNa41BwTd4JTAlSTy9hW1wQD3xZqMf6m5xP-icPF63Wa-iBAjE-M7C_mfcMHPuDTYgDecF8PVn42OwwMbI-_LAgY6e6GCZ6SzBmG6wBYtCRHK_txjvWtjBlzqU', 'width': 2448}]",ChIJuTvOq6h5ei4Rxm-dqaNdGJk,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",9.0
